STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1956,House,1,Frank W. Boykin,Democratic,31519
ALABAMA,1956,House,2,George M. Grant,Democratic,36613
ALABAMA,1956,House,3,George W. Andrews,Democratic,29547
ALABAMA,1956,House,4,Kenneth A. Roberts,Democratic,33591
ALABAMA,1956,House,4,Roy Banks,Republican,12166
ALABAMA,1956,House,5,Albert Rains,Democratic,45281
ALABAMA,1956,House,6,Armistead I. Seldon Jr.,Democratic,22513
ALABAMA,1956,House,7,Carl Elliott,Democratic,31988
ALABAMA,1956,House,8,Robert E. Jones,Democratic,43671
ALABAMA,1956,House,8,Mrs. J. G. Portney,Republican,10439
ALABAMA,1956,House,9,George Huddleston Jr.,Democratic,56414
ALABAMA,1956,House,9,William L. Longshore Jr.,Republican,29222
ALABAMA,1956,Presidential,,,,280844
ALABAMA,1956,Presidential,,,,195694
ALABAMA,1956,Presidential,,,,20323
ALABAMA,1956,Senate,,Lister Hill,Democratic,330182
ALASKA,1960,DELEGATE,,E. L. (Bob) Bartlett,Democrat,18934
ALASKA,1960,DELEGATE,,Byron A. Gillam,Republican,9332
ARIZONA,1958,HOUSE,1,William P. Mahoney Jr.,Democratic,64805
ARIZONA,1958,HOUSE,1,John J. Rhodes,Republican,78998
ARIZONA,1958,HOUSE,2,Stewart L. Udall,Democratic,82110
ARIZONA,1958,HOUSE,2,John G. (Jack) Speiden,Republican,54596
ARIZONA,1958,PRESIDENT,,,,112880
ARIZONA,1958,PRESIDENT,,,,176990
ARIZONA,1958,PRESIDENT,,,,303
ARIZONA,1958,SENATE,,Carl Hayden,Democratic,170816
ARIZONA,1958,SENATE,,Ross F. Jones,Republican,107447
ARKANSAS,1958,HOUSE,1,E. C. Gathings,Democratic,25622
ARKANSAS,1958,HOUSE,2,Wilbur D. Mills,Democratic,19540
ARKANSAS,1958,HOUSE,3,James W. Trimble,Democratic,54281
