STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1952,House,1,Frank W. Boykin,Democrat,30758
ALABAMA,1952,House,2,George M. Grant,Democrat,38421
ALABAMA,1952,House,3,George W. Andrews,Democrat,29321
ALABAMA,1952,House,4,Kenneth A. Roberts,Democrat,31389
ALABAMA,1952,House,5,Albert Rains,Democrat,43843
ALABAMA,1952,House,6,Armistead I. Selden Jr.,Democrat,24058
ALABAMA,1952,House,7,Carl Elliott,Democrat,33533
ALABAMA,1952,House,7,Cyrus Kitchens,Republican,12689
ALABAMA,1952,House,8,Robert E. Jones Jr.,Democrat,41293
ALABAMA,1952,House,8,H. G. (Red) Williams,Republican,5984
ALABAMA,1952,House,9,Laurie C. Battle,Democrat,51537
ALABAMA,1952,Presidential,,,,275075
ALABAMA,1952,Presidential,,,,149231
ALABAMA,1952,Presidential,,,,1814
ALASKA,1944,DELEGATE,,E. L. Bartlett,Democrat,14219
ALASKA,1944,DELEGATE,,Robert C. Reeve,Republican,10893
ARIZONA,1932,House,1,John J. Rhodes,Republican,66512
ARIZONA,1932,House,1,John R. Murdock,Democrat,56622
ARIZONA,1932,House,2,Harold A. Patten,Democrat,71245
ARIZONA,1932,House,2,William C. Frey,Republican,54021
ARIZONA,1932,Presidential,,,,125042
ARIZONA,1952,Presidential,,,,152042
ARIZONA,1952,Presidential,,,,108528
ARIZONA,1952,Senate,,Barry M. Goldwater,Republican,132063
ARIZONA,1952,Senate,,Ernest W. McFarland,Democrat,125338
ARKANSAS,1932,House,1,E. C. Gathings,Democrat,42494
ARKANSAS,1932,House,2,Wilbur D. Mills,Democrat,36252
ARKANSAS,1932,House,3,James W. Trimble,Democrat,49284
ARKANSAS,1932,House,3,Jack Joyce,Republican,38784
ARKANSAS,1932,House,4,Oren Harris,Democrat,65374
ARKANSAS,1932,House,5,Brooks Hays,Democrat,53056
ARKANSAS,1932,House,5,Alonzo A. Ross,Republican,13105
ARKANSAS,1932,House,5,Ed Shultz,Independent,1196
ARKANSAS,1932,House,6,W. F. Norrell,Democrat,62378
ARKANSAS,1932,Presidential,,,,226300
ARKANSAS,1932,Presidential,,,,177155
ARKANSAS,1932,Presidential,,,,458
ARKANSAS,1932,Presidential,,,,886
ARKANSAS,1932,Presidential,,,,1
Alabama,1953,Presidential,,,,18723
Alabama,1953,Presidential,,,,234323
Alabama,1952,Presidential,,,,125463
Alabama,1952,Presidential,,,,152938
Alabama,1962,Presidential,,,Republican (Dem),186421
Alabama,1962,Presidential,,,Stevenson (Democrat),275078
Alabama,1962,Presidential,,,Harrison (American Labor),4
Alabama,1962,Presidential,,,Stevenson (Democrat),11
Arizona,1953,Presidential,,,,120332
