STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1944,House,1,Frank W. Boykin,Democratic,19082
ALABAMA,1944,House,2,George M. Grant,Democratic,24180
ALABAMA,1944,House,3,George W. Andrews,Democratic,20470
ALABAMA,1944,House,4,Sam Hobbs,Democratic,19391
ALABAMA,1944,House,4,O. D. Beard,Republican,3524
ALABAMA,1944,House,5,Albert Rains,Democratic,25317
ALABAMA,1944,House,6,Pete Jarman,Democratic,14561
ALABAMA,1944,House,7,Carter Manasco,Democratic,21671
ALABAMA,1944,House,7,J. B. Burdick,Republican,11202
ALABAMA,1944,House,8,John J. Sparkman,Democratic,24023
ALABAMA,1944,House,9,Luther Patrick,Democratic,31767
ALABAMA,1944,House,9,H. H. Grooms,Republican,7120
ALABAMA,1944,President,,,,198918
ALABAMA,1944,President,,,,44540
ALABAMA,1944,President,,,,1095
ALABAMA,1944,President,,,,190
ALABAMA,1944,Senate,,Lister Hill,Democratic,202504
ALABAMA,1944,Senate,,John Posey,Republican,41983
ALABAMA,1944,Senate,,Parrish,Prohibition,3162
ALASKA,1944,DELEGATE,,Edward L. Bartlett,Democrat,7252
ALASKA,1944,DELEGATE,,John E. Manders,Republican,3762
ARIZONA,1932,House,,John R. Murdock,Democratic,88532
ARIZONA,1932,House,,Richard F. Harless,Democratic,86691
ARIZONA,1932,House,,Margaret Adams Rockwell,Republican,39015
ARIZONA,1932,House,,A. M. Ward,Republican,36352
ARIZONA,1932,House,,A. Walter Gehres,Prohibition,469
ARIZONA,1932,Presidential,,,,80926
ARIZONA,1932,Presidential,,,,56287
ARIZONA,1932,Presidential,,,,421
ARIZONA,1932,Senate,,Carl Hayden,Democratic,90335
ARIZONA,1932,Senate,,Fred W. Pickett,Republican,39891
ARKANSAS,1932,House,1,E. C. Gathings,Democratic,32501
ARKANSAS,1932,House,2,Wilbur D. Mills,Democratic,24977
ARKANSAS,1932,House,3,James W. Trimble,Democratic,20053
ARKANSAS,1932,House,3,Tom Sullivan,Republican,11613
ARKANSAS,1932,House,4,Fadjo Cravens,Democratic,30310
ARKANSAS,1932,House,5,Brooks Hays,Democratic,38215
ARKANSAS,1932,House,5,Lonzo A. Ross,Republican,1602
ARKANSAS,1932,House,6,W. F. Norrell,Democratic,31785
ARKANSAS,1932,House,7,Oren Harris,Democratic,27551
ARKANSAS,1932,Presidential,,,,148965
ARKANSAS,1932,Presidential,,,,63551
ARKANSAS,1932,Presidential,,,,438
ARKANSAS,1932,Senate,,J. William Fulbright,Democratic,182499
ARKANSAS,1932,Senate,,V. M. Wade,Republican,31942
Alabama,1844,Presidential,,,,198818
Alabama,1844,Presidential,,,,54940
Alabama,1944,Presidential,,,,300462
Alabama,1944,Presidential,,,,208413
Alabama,1944,Senate,,,,422564
Alaska,1944,Presidential,,,,7000
Alaska,1944,Presidential,,,,6000
Alaska,1944,Senate,,,,20438
Arizona,1944,Presidential,,,,113403
Arizona,1944,Presidential,,,,95033
Arizona,1944,Senate,,,,143442
Arkansas,1844,Presidential,,,,19467
Arkansas,1844,Presidential,,,,9546
Arkansas,1944,Presidential,,,,146653
Arkansas,1944,Presidential,,,,108383
Arkansas,1944,Senate,,,,40316
CALIFORNIA,1932,House,1,Clarence F. Lea,"Democrat, Republican",92706
CALIFORNIA,1932,House,2,John Englebright,Democrat,48916
CALIFORNIA,1932,House,2,Jesse M. Mayo,Republican,27312
CALIFORNIA,1932,House,3,J. Leroy Johnson,"Republican, Democrat",131705
CALIFORNIA,1932,House,4,Frank R. Havenner,Democrat,73582
CALIFORNIA,1932,House,4,Thomas Ralph,Republican,73357
CALIFORNIA,1932,House,5,Richard J. Welch,"Republican, Democrat",174451
CALIFORNIA,1932,House,5,George F. Miller,Democrat,104441
CALIFORNIA,1932,House,6,Albert E. Carter,Republican,96395
CALIFORNIA,1932,House,7,John H. Tolan,"Democrat, Republican",77762
CALIFORNIA,1932,House,7,Chesley M. Walter,Republican,59360
CALIFORNIA,1932,House,8,Jack Z. Anderson,Republican,94218
CALIFORNIA,1932,House,8,Arthur L. Johnson,Democrat,72420
CALIFORNIA,1932,House,9,Bertrand W. Gearhart,"Republican, Democrat",66845
CALIFORNIA,1932,House,10,Alfred J. Elliott,"Democrat, Republican",60001
CALIFORNIA,1932,House,11,George E. Outland,Democrat,52218
CALIFORNIA,1932,House,11,Fred J. Hart,Republican,41005
CALIFORNIA,1932,House,12,Jerry Voorhis,Democrat,77385
CALIFORNIA,1932,House,12,Roy F. McLaughlin,Republican,62524
CALIFORNIA,1932,Presidential,,,,1988564
CALIFORNIA,1932,Presidential,,,,1512965
CALIFORNIA,1932,Presidential,,,,14770
CALIFORNIA,1932,Presidential,,Norman Thomas,Write-in,2515
CALIFORNIA,1932,Presidential,,Jarlington Hoopes,Write-in,1408
CALIFORNIA,1932,Presidential,,Edward A. Teichert,Write-in,180
CALIFORNIA,1932,Presidential,,Arla A. Albaugh,Write-in,147
CALIFORNIA,1932,Senate,,Sheridan Downey,Democrat,1728155
CALIFORNIA,1932,Senate,,Frederick F. Houser,Republican,1576553
COLORADO,1932,House,1,Dean M. Gillespie,Republican,90151
COLORADO,1932,House,1,Charles A. Graham,Democratic,83253
COLORADO,1932,House,1,Edgar F. Sherman,Socialist,798
COLORADO,1932,House,2,William S. Hill,Republican,93264
COLORADO,1932,House,2,David J. Miller,Democratic,49079
COLORADO,1932,House,2,Benjamin F. O'Brien,Independent,749
COLORADO,1932,House,2,William E. Randall,Socialist,462
COLORADO,1932,House,3,J. Edgar Chenoweth,Republican,69492
COLORADO,1932,House,3,Arthur M. Winnet,Democratic,53904
COLORADO,1932,House,4,Robert F. Rockwell,Republican,38671
COLORADO,1932,House,4,John L. Henschkel,Democratic,24039
COLORADO,1932,Presidential,,,,268731
COLORADO,1932,Presidential,,,,234331
COLORADO,1932,Presidential,,,,1977
COLORADO,1932,Senate,,Eugene D. Millikin,Republican,277410
COLORADO,1932,Senate,,Barney L. Whatley,Democratic,214335
COLORADO,1932,Senate,,Carle Whitehead,Socialist,3143
California,1932,House,13,Ned R. Healy,Democrat,66854
California,1932,House,13,Norris Poulson,Republican,54792
California,1932,House,14,Helen Gahagan Douglas,Democrat,65729
California,1932,House,14,William D. Campbell,Republican,61767
California,1932,House,15,Gordon L. McDonough,Republican,100305
California,1932,House,15,Hal Styles,Democrat,73635
California,1932,House,15,Johannes Nielson-Lange,Prohibition,2994
California,1932,House,16,Ellis E. Patterson,Democrat,105835
California,1932,House,16,Jesse Randolph Kellems,Republican,89700
California,1932,House,17,Cecil R. King,Democrat,147217
California,1932,House,18,Clyde Doyle,Democrat,95090
California,1932,House,18,Ward Johnson,Republican,75749
California,1932,House,19,Chet Holifield,Democrat,65758
California,1932,House,19,Carlton H. Casjens,Republican,25852
California,1932,House,20,Carl Hinshaw,Republican,112663
California,1932,House,20,Archibald B. Young,Democrat,101090
California,1932,House,20,Charles H. Randall,Prohibition,3515
California,1932,House,21,Harry R. Sheppard,Democrat,48539
California,1932,House,21,Earl S. Webb,Republican,34400
California,1932,House,22,John Phillips,Republican,88537
California,1932,House,23,Ed V. Izac,Democrat,86707
California,1932,House,23,James B. Abbey,Republican,70787
California,1944,Presidential,,,,1988564
California,1944,Presidential,,,,1453652
California,1944,Senate,,,,1433974
Colorado,1944,Presidential,,,,463415
Colorado,1944,Presidential,,,,268829
Colorado,1944,Senate,,,,407508
Connecticut,1844,Presidential,,,,32832
Connecticut,1844,Presidential,,,,29841
Connecticut,1932,House,1,Herman P. Kopplemann,Democratic,120100
Connecticut,1932,House,1,William J. Miller,Republican,102257
Connecticut,1932,House,2,Chase Going Woodhouse,Democratic,63013
