STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
34th,1855-1857,62,42,15,5,0
35th,1857-1859,64,36,20,8,0
36th,1859-1861,66,38,26,2,0
37th,1861-1863,50,11,31,7,1
38th,1863-1865,51,12,39,0,0
39th,1865-1867,52,10,42,0,0
40th,1867-1869,53,11,42,0,0
41st,1869-1871,74,11,61,0,2
42nd,1871-1873,74,17,57,0,0
43rd,1873-1875,74,19,54,0,1
44th,1875-1877,76,29,46,0,1
45th,1877-1879,76,36,39,1,0
46th,1879-1881,76,43,33,0,0
47th,1881-1883,76,37,39,0,0
48th,1883-1885,76,36,40,0,0
49th,1885-1887,76,34,41,0,1
50th,1887-1889,76,37,39,0,0
51st,1889-1891,84,37,47,0,0
52nd,1891-1893,88,39,47,2,0
53rd,1893-1895,88,44,38,3,3
54th,1895-1897,88,39,44,5,0
55th,1897-1899,90,34,46,10,0
56th,1899-1901,90,26,53,11,0
57th,1901-1903,90,29,56,3,2
58th,1903-1905,90,32,58,0,0
59th,1905-1907,90,32,58,0,0
60th,1907-1909,92,29,61,0,2
61st,1909-1911,92,32,59,0,1
62nd,1911-1913,92,42,49,1,0
63rd,1913-1915,96,51,44,0,1
64th,1915-1917,96,56,39,1,0
65th,1917-1919,96,53,42,1,0
66th,1919-1921,96,47,48,1,0
67th,1921-1923,96,37,59,0,0
68th,1923-1925,96,43,51,2,0
69th,1925-1927,96,40,54,1,1
70th,1927-1929,96,47,48,1,0
71st,1929-1931,96,39,56,1,0
72nd,1931-1933,96,47,48,1,0
73rd,1933-1935,96,59,36,1,0
74th,1935-1937,96,69,25,2,0
75th,1937-1939,96,75,17,4,0
76th,1939-1941,96,69,23,4,0
77th,1941-1943,96,66,28,2,0
78th,1943-1945,96,57,38,1,0
79th,1945-1947,96,57,38,1,0
80th,1947-1949,96,45,51,0,0
81st,1949-1951,96,54,42,0,0
82nd,1951-1953,96,48,47,1,0
83rd,1953-1955,96,46,48,1,1
84th,1955-1957,96,48,47,1,0
85th,1957-1959,96,49,47,0,0
86th,1959-1961,98,64,34,0,0
87th,1961-1963,100,64,36,0,0
88th,1963-1965,100,67,33,0,0
89th,1965-1967,100,68,32,0,0
90th,1967-1969,100,64,36,0,0
ALABAMA,1966,House,1,Warren L. Finch,Democrat,30474
ALABAMA,1966,House,1,Jack Edwards,Republican,58515
ALABAMA,1966,House,2,Robert F. Whaley,Democrat,40832
ALABAMA,1966,House,2,William L. Dickinson,Republican,49203
ALABAMA,1966,House,3,George Andrews,Democrat,61015
ALABAMA,1966,House,4,Bill Nichols,Democrat,51863
ALABAMA,1966,House,4,Glenn Andrews,Republican,36933
ALABAMA,1966,House,5,Armistead I. Selden Jr.,Democrat,68486
ALABAMA,1966,House,6,Walter Emmett Perry,Democrat,37131
ALABAMA,1966,House,6,John Buchanan,Republican,64435
ALABAMA,1966,House,7,Tom Bevill,Democrat,73987
ALABAMA,1966,House,7,Wayman Sherrer,Republican,40972
