STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
34th,1855-57,42,15,5,83,108
35th,1857-59,39,20,5,131,92
36th,1859-61,38,26,2,101,113
37th,1861-63,11,31,7,42,106
38th,1863-65,12,36,0,80,103
39th,1865-67,10,42,0,46,145
40th,1867-69,11,42,0,49,143
41st,1869-71,11,61,2,73,170
42nd,1871-73,17,57,0,104,136
43rd,1873-75,19,54,1,88,203
44th,1875-77,29,46,1,181,107
45th,1877-79,36,39,1,150,137
46th,1879-81,43,33,0,150,128
47th,1881-83,37,37,2,130,151
48th,1883-85,36,40,0,200,119
49th,1885-87,34,41,1,182,140
50th,1887-89,37,39,0,170,151
51st,1889-91,37,47,0,156,173
52nd,1891-93,39,47,2,231,88
53rd,1893-95,44,38,3,220,126
54th,1895-97,39,44,6,104,246
55th,1897-99,34,46,10,124,206
56th,1899-1901,26,53,7,163,185
57th,1901-03,29,56,3,153,198
58th,1903-05,32,58,0,178,207
59th,1905-07,32,58,0,136,250
60th,1907-09,29,61,2,164,222
61st,1909-11,32,59,1,172,219
62nd,1911-13,42,49,1,228,162
63rd,1913-15,51,44,1,290,127
64th,1915-17,56,39,1,231,193
65th,1917-19,53,42,1,210,216
66th,1919-21,47,48,1,191,237
67th,1921-23,37,59,0,132,300
68th,1923-25,43,51,2,207,225
69th,1925-27,40,54,1,183,247
70th,1927-29,47,48,1,195,237
71st,1929-31,39,56,1,163,267
72nd,1931-33,47,48,1,216,218
73rd,1933-35,59,36,1,313,117
74th,1935-37,69,25,2,322,103
75th,1937-39,75,17,4,333,89
76th,1939-41,69,23,4,262,169
77th,1941-43,66,28,2,267,162
78th,1943-45,57,38,1,222,209
79th,1945-47,57,38,1,243,190
80th,1947-49,45,51,0,188,246
81st,1949-51,54,42,0,263,171
82nd,1951-53,48,47,1,234,199
83rd,1953-55,46,48,2,213,221
84th,1955-57,48,47,1,232,203
85th,1957-59,49,47,0,234,201
86th,1959-61,64,34,0,283,154
87th,1961-63,64,36,0,262,175
88th,1963-65,67,33,0,258,176
89th,1965-67,68,32,0,295,140
90th,1967-69,64,36,0,248,187
91st,1969-71,58,42,0,243,192
92nd,1971-73,54,44,2,255,180
93rd,1973-75,56,42,2,242,192
94th,1975-77,60,37,2,291,144
ALABAMA,1958,House,1,Augusta E. Wilson,Democrat,37718
ALABAMA,1958,House,1,Jack Edwards,Republican,60710
ALABAMA,1958,House,1,Mary B. McCarthy,National Democrat,3638
ALABAMA,1958,House,2,Clair Chisler,Democrat,27729
ALABAMA,1958,House,2,William L. (Bill) Dickinson,Republican,54089
ALABAMA,1958,House,3,Bill Nichols,Democrat,63582
ALABAMA,1958,House,3,James R. Connell,Prohibition,2729
ALABAMA,1958,House,3,Write-in,Write-in,1
ALABAMA,1958,House,4,Tom Bevill,Democrat,77925
ALABAMA,1958,House,4,Write-in,Write-in,193
ALABAMA,1958,House,5,Bob Jones,Democrat,56375
ALABAMA,1958,House,5,Write-in,Write-in,6
ALABAMA,1958,House,6,Arma Miglionico,Democrat,39444
ALABAMA,1958,House,6,John H. Buchanan Jr.,Republican,54505
ALABAMA,1958,House,6,Elizabeth S. Dillard,Prohibition,1595
ALABAMA,1958,House,6,Write-in,Write-in,693
ALABAMA,1958,House,7,Walter Flowers,Democrat,73203
ALABAMA,1958,House,7,Frank P. Walls,Conservative,5175
ALABAMA,1958,House,7,Lewis Black,National Democrat,2085
ALABAMA,1958,House,7,Write-in,Write-in,5
ALABAMA,1958,Senate,,James B. Allen,Democrat,501541
ALABAMA,1958,Senate,,Alvin Abercrombie,Prohibition,21749
ALASKA,1958,Senate,,Mike Gravel,Democrat,54361
ALASKA,1958,Senate,,C. R. Lewis,Republican,38914
ARIZONA,1982,House,1,"Patricia M. ""Pat"" Fullenwider",Democrat,52807
ARIZONA,1982,House,1,John J. Rhodes,Republican,63847
ARIZONA,1982,House,1,J. M. Sanders,Life-Liberty-Justice,8199
ARIZONA,1982,House,1,,Write-in,18
ARIZONA,1982,House,2,Morris K. Udall,Democrat,84491
ARIZONA,1982,House,2,Keith Dolgaard,Republican,51886
ARIZONA,1982,House,3,Pat Bosch,Democrat,68424
ARIZONA,1982,House,3,Sam Steiger,Republican,71497
ARIZONA,1982,House,4,"Byron T. ""Bud"" Brown",Democrat,63677
ARIZONA,1982,House,4,John B. Conlan,Republican,78887
ARIZONA,1982,Senate,,Jonathan Marshall,Democrat,229523
ARIZONA,1982,Senate,,Barry M. Goldwater,Republican,320396
ARKANSAS,1982,House,1,Bill Alexander,Democrat,104247
ARKANSAS,1982,House,1,James Lawrence Dauer,Republican,10821
ARKANSAS,1982,House,2,Wilbur D. Mills,Democrat,80296
ARKANSAS,1982,House,2,Judy Petty,Republican,56038
ARKANSAS,1982,House,3,Bill Clinton,Democrat,83030
ARKANSAS,1982,House,3,John Paul Hammerschmidt,Republican,89324
ARKANSAS,1982,House,4,Ray Thornton,Democrat,0
ARKANSAS,1982,Senate,,Dale Bumpers,Democrat,461056
ARKANSAS,1982,Senate,,John Harris Jones,Republican,82026
Abner J. Mikva,Democrat,83437,10,,,
Alabama,1974,Representative,1,,Democrat,273926
Alabama,1974,Representative,2,,Democrat,44280
Alabama,1974,Representative,3,,Democrat,99886
Alabama,1974,Representative,4,,Democrat,3262153
Alabama,1974,Representative,5,,Democrat,103583
Alabama,1974,Representative,6,,Democrat,66140
Alabama,1974,Representative,7,,Democrat,157311
Alabama,1974,Senate,,Sparkman,Democratic,504541
Alabama,1974,Senate,,Martin,Republican,384614
Alabama,1974,Senate,,Stewart,Independent,21749
Alabama,1974,Senate,,Cashin,National Democratic,8404
Alabama,1974,Senate,,Boone,Independent,42769
Alabama,1974,Senate,,Higdon,Independent,17551
Alabama,1974,Senate,,Paulk,Independent,6020
Alabama,1974,Senate,,Sellers,Independent,4615
Alabama,1974,Senate,,Swearingen,Independent,7161
Alabama,1974,Senate,,Zeigler,Independent,13050
Alabama,1974,Senate,,Carmichael,Independent,7727
Alabama,1974,Senate,,Etheredge,Independent,4531
Alabama,1974,Senate,,Huddleston,Independent,8316
Alabama,1974,Senate,,Rabren,Independent,7993
Albert W. Johnson,Republican,67192,,,,
Alexander W. Nojovits,Conservative,1438,14,,,
Alfred J. Libous,Republican,68273,27,,,
Alphonzo Bell,Republican,99645,,,,
Ann Riley Owens,Socialist Workers,192,5,,,
Arlene R. Wenger,Constitutional,1765,,,,
Arline Mathews,Democrat,61119,,,,
Arthur L. Berger,Democrat,61441,,,,
Augustus F. (Gus) Hawkins,Democrat,45977,,,,
Austen D. Canade,Republican,34814,15,,,
B. F. Sisk,Democrat,80205,,,,
Barbara C. Wicks,Democrat,46596,38,,,
Barber B. Conable Jr.,Republican,90269,35,,,
Barry Goldwater Jr.,Republican,96324,,,,
Bella S. Abzug,Democrat,65401,20,,,
Benjamin A. Gilman,Republican,81562,26,,,
Bessie C. Noble,Liberal,1802,33,,,
Betty C. Spence,Democrat,45049,12,,,
Bill Bond,Republican,72967,,,,
Bob Carr,Democrat,73956,6,,,
Bob Mathias,Republican,61242,,,,
Bob Traxler,Democrat,77795,8,,,
Brian Ehaw,Socialist Workers,252,11,,,
Bryce F. Bender Jr.,Human Rights,765,3,,,
Burt L. Talcott,Republican,76984,,,,
CALIFORNIA,1982,House,1,Harold T. (Bizz) Johnson,Democrat,137849
CALIFORNIA,1982,House,1,Dorothy D. Paradis,American Independent,22628
CALIFORNIA,1982,House,10,Don Edwards,Democrat,86014
CALIFORNIA,1982,House,10,John M. Enright,Republican,25678
CALIFORNIA,1982,House,11,Leo J. Ryan,Democrat,106975
CALIFORNIA,1982,House,11,"Brainard ""Bee"" G. Merdinger",Republican,29783
CALIFORNIA,1982,House,11,Nicholas W. Kudrovzeff,American Independent,2293
CALIFORNIA,1982,House,12,Gary G. Gillmor,Democrat,46197
CALIFORNIA,1982,House,12,"Paul N. ""Pete"" McCloskey Jr.",Republican,103228
CALIFORNIA,1982,House,13,Norman Y. Mineta,Democrat,78649
CALIFORNIA,1982,House,13,George W. Milias,Republican,63381
CALIFORNIA,1982,House,13,Elizabeth Cervantes Barron,Peace and Freedom,3846
CALIFORNIA,1982,House,13,Floyd S. Stancliffe,American Independent,3738
CALIFORNIA,1982,House,2,"Oscar ""H"" Klee",Democrat,76951
CALIFORNIA,1982,House,2,Don H. Clausen,Republican,95308
CALIFORNIA,1982,House,2,Carole J. Glass,Peace and Freedom,7719
CALIFORNIA,1982,House,3,John E. Moss,Democrat,121842
CALIFORNIA,1982,House,3,Ivaldo Lenci,Republican,46585
CALIFORNIA,1982,House,4,Robert L. Leggett,Democrat,100934
CALIFORNIA,1982,House,5,John Burton,Democrat,87323
CALIFORNIA,1982,House,5,Thomas Caylor,Republican,55881
CALIFORNIA,1982,House,5,Raymond Broshears,Peace and Freedom,3999
CALIFORNIA,1982,House,6,Phillip Burton,Democrat,84585
