STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1990,House,1,Sonny Callahan,Republican,82185
ALABAMA,1990,House,1,Write-in,Write-in,345
ALABAMA,1990,House,2,Faye Baggiano,Democrat,83243
ALABAMA,1990,House,2,William L. Dickinson,Republican,87649
ALABAMA,1990,House,2,Write-in,Write-in,19
ALABAMA,1990,House,3,Glen Browder,Democrat,101923
ALABAMA,1990,House,3,Don Sledge,Republican,36317
ALABAMA,1990,House,3,Write-in,Write-in,2
ALABAMA,1990,House,4,Tom Bevill,Democrat,129872
ALABAMA,1990,House,4,Write-in,Write-in,340
ALABAMA,1990,House,5,Bud Cramer,Democrat,113047
ALABAMA,1990,House,5,Albert McDonald,Republican,55326
ALABAMA,1990,House,5,Write-in,Write-in,10
ALABAMA,1990,House,6,Ben Erdreich,Democrat,134412
ALABAMA,1990,House,6,David A. Alvarez,Independent,8640
ALABAMA,1990,House,6,Nathaniel Ivory,Independent,1745
ALABAMA,1990,House,7,Claude Harris,Democrat,127490
ALABAMA,1990,House,7,Michael D. Barker,Republican,53258
ALABAMA,1990,House,7,Write-in,Write-in,46
ALABAMA,1990,Senate,,Howell Heflin,Democrat,717814
ALABAMA,1990,Senate,,Bill Cabaniss,Republican,467190
ALABAMA,1990,Senate,,Write-in,Write-in,150
ALASKA,1990,Senate,,Michael Beasley,Democrat,61152
ALASKA,1990,Senate,,Ted Stevens,Republican,125306
ALASKA,1990,Senate,,Write-in,Write-in,2999
ALASKA,1992,House,,John S. Devens,Democrat,91677
ALASKA,1992,House,,Don Young,Republican,99003
ALASKA,1992,House,,Write-in,Write-in,967
AMERICAN SAMOA,1988,Delegate,,Eni F. H. Faleomavaega,Democratic,5049
AMERICAN SAMOA,1988,Delegate,,Afoa Moega Lutu,Democratic,1384
AMERICAN SAMOA,1988,Delegate,,Moaalitele Tuufuli,Democratic,2031
AMERICAN SAMOA,1988,Delegate,,Ace A. Tago,Independent,2567
ARIZONA,1992,House,1,John J. Rhodes III,Republican,166223
ARIZONA,1992,House,1,Betsy McDonald,Socialist Workers,172
ARIZONA,1992,House,1,Tim Rose,Write-in,621
ARIZONA,1992,House,2,Morris K. Udall,Democrat,76549
ARIZONA,1992,House,2,Joseph Sweeney,Republican,39586
ARIZONA,1992,House,2,Write-in,Write-in,44
ARIZONA,1992,House,3,Roger Hartstone,Democrat,103018
ARIZONA,1992,House,3,Bob Stump,Republican,134279
ARIZONA,1992,House,4,Mark Ivey Jr.,Democrat,83395
ARIZONA,1992,House,4,Jon L. Kyl,Republican,141843
ARIZONA,1992,House,5,Chuck Phillips,Democrat,75642
ARIZONA,1992,House,5,Jim Kolbe,Republican,138975
ARKANSAS,1992,House,1,Bill Alexander,Democrat,101026
ARKANSAS,1992,House,1,Terry Hayes,Republican,56071
ARKANSAS,1992,House,2,Ray Thornton,Democrat,103471
ARKANSAS,1992,House,2,Jim Keet,Republican,67800
ARKANSAS,1982,House,3,Dan Ivy,Democrat,54332
ARKANSAS,1982,House,3,John Paul Hammerschmidt,Republican,129876
ARKANSAS,1982,House,4,Beryl Anthony Jr.,Democrat,110365
ARKANSAS,1982,House,4,Roy Rood,Republican,42130
ARKANSAS,1992,Senate,,David H. Pryor,Democrat,493910
ARKANSAS,1992,Senate,,Betty White,Write-in,825
Alabama,1990,Senate,,,,717314
Alabama,1990,Senate,,,,467196
Alabama,1990,Senate,,,,150
Alabama,1990,Senate,,Howell Heflin,Democratic,588987
Alabama,1990,Senate,,William J. Cabaniss,Republican,511752
Alaska,1990,Senate,,,,125006
Arizona,1990,Senate,,DeConcini,Democratic,344004
Arizona,1990,Senate,,Keith DeGreen,Republican,209008
Arizona,1990,Senate,,Kathy Ireland,Libertarian,19645
Arkansas,1990,Senate,,,,493910
CALIFORNIA,1982,House,1,Douglas H. Bosco,Democrat,96468
CALIFORNIA,1982,House,1,Frank Riggs,Republican,93782
CALIFORNIA,1982,House,1,Darlene G. Comingore,Peace and Freedom,34011
CALIFORNIA,1982,House,10,Don Edwards,Democrat,81875
CALIFORNIA,1982,House,10,Mark Patrosso,Republican,48747
