STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1988,Representative,1,John M. Tyson Jr.,Democratic,77670
ALABAMA,1988,Representative,1,"H. L. ""Sonny"" Callahan",Republican,115173
ALABAMA,1988,Representative,1,Ken Ament,Libertarian,1483
ALABAMA,1988,Representative,1,,Write-In,37
ALABAMA,1988,Representative,2,Bill Dickinson,Republican,120408
ALABAMA,1988,Representative,2,Joel Brooke King,Libertarian,7352
ALABAMA,1988,Representative,2,,Write-In,101
ALABAMA,1988,Representative,3,Bill Nichols,Democratic,117514
ALABAMA,1988,Representative,3,Jerome Shockley,Libertarian,4793
ALABAMA,1988,Representative,3,,Write-In,3
ALABAMA,1988,Representative,4,Tom Bevill,Democratic,131880
ALABAMA,1988,Representative,4,John Sebastian,Libertarian,5264
ALABAMA,1988,Representative,4,,Write-In,5
ALABAMA,1988,Representative,5,Ronnie G. Flippo,Democratic,120142
ALABAMA,1988,Representative,5,Stan McDonald,Republican,64491
ALABAMA,1988,Representative,5,John Palmer,Libertarian,1989
ALABAMA,1988,Representative,5,,Write-In,1
ALABAMA,1988,Representative,6,Ben Erdreich,Democratic,138920
ALABAMA,1988,Representative,6,Charles Caddis,Republican,98738
ALABAMA,1988,Representative,6,William Wingo,Libertarian,1092
ALABAMA,1988,Representative,6,,Write-In,226
ALABAMA,1988,Representative,7,Claude Harris,Democratic,136074
ALABAMA,1988,Representative,7,"James E. ""Jim"" Bacon",Republican,63372
ALABAMA,1988,Representative,7,Alan Barksdale,Libertarian,1421
ALABAMA,1988,Representative,7,,Write-In,99
ALABAMA,1988,Presidential,,,,549506
ALABAMA,1988,Presidential,,,,815276
ALABAMA,1988,Presidential,,,,8460
ALABAMA,1988,Presidential,,,,4428
ALABAMA,1988,Presidential,,,,506
ALASKA,1982,PRESIDENTIAL,,,,72584
ALASKA,1982,PRESIDENTIAL,,,,119251
ALASKA,1982,PRESIDENTIAL,,,,5484
ALASKA,1982,PRESIDENTIAL,,,,1024
ALASKA,1982,PRESIDENTIAL,,,,816
ALASKA,1982,PRESIDENTIAL,,,,967
ALASKA,1982,HOUSE,,Peter Gruenstein,Democratic,71881
ALASKA,1982,HOUSE,,Don Young,Republican,120595
ALASKA,1982,HOUSE,,Write-In,Write-In,479
AMERICAN SAMOA,1988,DELEGATE,,Eni F. H. Faleomavaega,Democratic,4054
AMERICAN SAMOA,1988,DELEGATE,,I. S. Mulitauaopele,Democratic,912
AMERICAN SAMOA,1988,DELEGATE,,Aumoeualogo Salanoa Soli,Republican,2125
AMERICAN SAMOA,1988,DELEGATE,,Tufele Li'amatua,Write-in,3764
AMERICAN SAMOA,1988,DELEGATE,,Eni F. H. Paleomavaega,Democratic,4610
AMERICAN SAMOA,1988,DELEGATE,,Tufele Li'amatua,Write-in,4427
ARIZONA,1982,HOUSE,1,John M. Fillmore,Democratic,71388
ARIZONA,1982,HOUSE,1,John J. Rhodes III,Republican,184639
ARIZONA,1980,House,1,,Democratic,71388
ARIZONA,1980,House,1,,Republican,184439
ARIZONA,1982,HOUSE,2,Morris K. Udall,Democratic,99895
ARIZONA,1982,HOUSE,2,Joseph D. Sweeney,Republican,36309
ARIZONA,1980,House,2,,Democratic,99205
ARIZONA,1980,House,2,,Republican,93493
ARIZONA,1982,HOUSE,3,Dave Moss,Democratic,72417
ARIZONA,1982,HOUSE,3,Bob Stump,Republican,174453
ARIZONA,1982,HOUSE,3,John Parsons,Land-Water-Legacy,6460
ARIZONA,1980,House,3,,Democratic,72417
ARIZONA,1980,House,3,,Republican,119458
ARIZONA,1982,HOUSE,4,Jon Kyl,Republican,206248
ARIZONA,1982,HOUSE,4,Gary Sprunk,Libertarian,30430
ARIZONA,1980,House,4,,Republican,205248
ARIZONA,1980,House,4,,Libertarian,30439
ARIZONA,1982,HOUSE,5,Judith E. Belcher,Democratic,78115
ARIZONA,1982,HOUSE,5,Jim Kolbe,Republican,164462
ARIZONA,1980,House,5,,Democratic,78115
ARIZONA,1980,House,5,,Republican,164462
ARIZONA,1982,PRESIDENTIAL,,,,454029
ARIZONA,1982,PRESIDENTIAL,,,,702541
ARIZONA,1982,PRESIDENTIAL,,,,13351
ARIZONA,1982,PRESIDENTIAL,,,,1662
ARIZONA,1982,PRESIDENTIAL,,,,290
ARIZONA,1982,SENATE,,Dennis DeConcini,Democratic,660403
ARIZONA,1982,SENATE,,Keith DeGreen,Republican,478060
ARIZONA,1982,SENATE,,Rick Tompkins,Libertarian,20849
ARIZONA,1982,SENATE,,Ed Finkelstein,New Alliance,5195
ARIZONA,1982,SENATE,,Write-In,Write-In,32
ARIZONA,1980,Senate,,,Democratic,560403
ARIZONA,1980,Senate,,,Republican,476060
ARIZONA,1980,Senate,,,Libertarian,30349
ARIZONA,1980,President,,,,454029
ARIZONA,1980,President,,,,702541
ARIZONA,1980,President,,,,13351
ARKANSAS,1980,House,1,Bill Alexander,Democratic,
ARKANSAS,1980,House,2,Tommy F. Robinson,Democratic,168889
ARKANSAS,1980,House,2,Warren D. Carpenter,Republican,33475
ARKANSAS,1980,House,3,David Stewart,Democratic,54767
ARKANSAS,1980,House,3,John Paul Hammerschmidt,Republican,161623
ARKANSAS,1980,House,4,Beryl Anthony Jr.,Democratic,129508
ARKANSAS,1980,House,4,Roger N. Bell,Republican,57658
ARKANSAS,1980,President,,,,349237
ARKANSAS,1980,President,,,,465678
ARKANSAS,1980,President,,,,5146
ARKANSAS,1980,President,,,,3297
ARKANSAS,1980,President,,,,2161
ARKANSAS,1980,President,,,,1319
Alabama,1988,Presidential,,,,543604
Alabama,1988,Presidential,,,,521864
Alabama,1988,Presidential,,Democratic,Democratic,666482
Alabama,1988,Presidential,,Republican,Republican,673046
Alaska,1988,Presidential,,,,119251
Alaska,1988,Presidential,,,,72584
Arizona,1988,Presidential,,,,702541
Arizona,1988,Presidential,,,,454029
Arizona,1988,Presidential,,Democratic,Democratic,454029
Arizona,1988,Presidential,,Republican,Republican,502438
Arkansas,1988,Presidential,,,,466578
Arkansas,1988,Presidential,,,,349237
Arkansas,1988,Presidential,,Democratic,Democratic,349237
Arkansas,1988,Presidential,,Republican,Republican,466578
CALIFORNIA,1980,President,,,,4702233
CALIFORNIA,1980,President,,,,5054917
CALIFORNIA,1980,President,,,,70105
CALIFORNIA,1980,President,,,,53999
CALIFORNIA,1980,President,,,,811
COLORADO,1988,House,1,,Democratic,133922
COLORADO,1988,House,1,,Republican,57587
COLORADO,1988,House,1,Patricia Schroeder,Democratic,133922
COLORADO,1988,House,1,Joy Wood,Republican,57387
COLORADO,1988,House,2,,Democratic,147937
COLORADO,1988,House,2,,Republican,87078
COLORADO,1988,House,2,David E. Skaggs,Democratic,147437
COLORADO,1988,House,2,Dave Bath,Republican,87578
COLORADO,1988,House,3,,Democratic,120284
COLORADO,1988,House,3,,Republican,97823
COLORADO,1988,House,3,Ben Nighthorse Campbell,Democratic,169284
COLORADO,1988,House,3,Jim Zartman,Republican,47625
COLORADO,1988,House,4,,Democratic,57552
COLORADO,1988,House,4,,Republican,156302
COLORADO,1988,House,4,Charles S. Vigil,Democratic,57552
COLORADO,1988,House,4,Hank Brown,Republican,156202
COLORADO,1988,House,5,,Democratic,60118
COLORADO,1988,House,5,,Republican,181612
COLORADO,1988,House,5,John J. Mitchell,Democratic,60116
COLORADO,1988,House,5,Joel Hefley,Republican,131612
COLORADO,1988,House,6,,Democratic,77136
COLORADO,1988,House,6,,Republican,136487
COLORADO,1988,House,6,,Prohibition,2911
COLORADO,1988,House,6,Martha M. Ezzard,Democratic,77158
COLORADO,1988,House,6,Dan Schaefer,Republican,136487
COLORADO,1988,House,6,John Heckman,Concerns of People,2911
COLORADO,1988,Presidential,,,,621453
COLORADO,1988,Presidential,,,,728177
COLORADO,1988,Presidential,,,,15482
COLORADO,1988,Presidential,,,,4604
COLORADO,1988,Presidential,,,,2539
COLORADO,1988,Presidential,,,,189
CONNECTICUT,1988,House,1,Barbara B. Kennelly,Democratic,176463
CONNECTICUT,1988,House,1,"Mario Robles, Jr.",Republican,51985
CONNECTICUT,1988,House,2,Sam Gejdenson,Democratic,143326
CONNECTICUT,1988,House,2,Glenn Carberry,Republican,81965
CONNECTICUT,1988,House,3,Bruce A. Morrison,Democratic,147394
CONNECTICUT,1988,House,3,Gerard B. Patton,Republican,74275
CONNECTICUT,1988,House,4,Roger Pearson,Democratic,55751
CONNECTICUT,1988,House,4,Christopher Shays,Republican,147843
CONNECTICUT,1988,House,4,Nicholas J. Tarzia,War Against AIDS,2379
CONNECTICUT,1988,House,5,"Joseph Marinan, Jr.",Democratic,58612
CONNECTICUT,1988,House,5,John G. Rowland,Republican,163729
