STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alabama,1926,Senate,,Hugo L. Black,Democratic,91801
Alabama,1926,Senate,,Edmund H. Dryer,Republican,21712
Alabama,1926,House,1,John McDuffie,Democratic,8297
Alabama,1926,House,1,Aubrey Boyles,Republican,1578
Alabama,1926,House,2,Lister Hill,Democratic,10170
Alabama,1926,House,2,J. Asa Roberts,Republican,7019
Alabama,1926,House,3,Henry B. Steagall,Democratic,437
Alabama,1926,House,4,Lamar Jeffers,Democratic,8362
Alabama,1926,House,4,Omar H. Reynolds,Republican,3933
Alabama,1926,House,5,William B. Bowling,Democratic,9012
Alabama,1926,House,5,John A. Alexander,Republican,1183
Alabama,1926,House,6,William B. Oliver,Democratic,3954
Alabama,1926,House,6,G. M. Ayers,Republican,42
Alabama,1926,House,7,Miles C. Allgood,Democratic,14937
Alabama,1926,House,7,John C. Stephens,Republican,8162
Alabama,1926,House,8,Edward B. Almon,Democratic,8800
Alabama,1926,House,8,Robert M. Sims,Republican,964
Alabama,1926,House,9,George Huddleston,Democratic,7309
Alabama,1926,House,9,Frank H. Lathrop,Republican,430
Alabama,1926,House,10,William B. Bankhead,Democratic,11895
Arizona,1926,Senate,,Carl Hayden,Democratic,44951
Arizona,1926,Senate,,Ralph H. Cameron,Republican,31845
Arizona,1926,House,,Lewis D. Douglas,Democratic,43725
Arizona,1926,House,,Otis J. Baughn,Republican,24502
Arkansas,1926,Senate,,T. H. Caraway,Democratic,28166
Arkansas,1926,Senate,,Robert A. Jones,Republican,5048
Arkansas,1926,House,1,William J. Driver,Democratic,4152
Arkansas,1926,House,2,William A. Oldfield,Democratic,4013
Arkansas,1926,House,2,G. L. McKamey,Republican,1083
Arkansas,1926,House,3,John N. Tillman,Democratic,5696
Arkansas,1926,House,3,Hardy Kay Randall,Republican,3146
Arkansas,1926,House,4,Otis Wingo,Democratic,4726
Arkansas,1926,House,5,Heartsill Ragon,Democratic,4232
Arkansas,1926,House,5,Harry W. Milligan,Republican,874
Arkansas,1926,House,6,J. B. Reed,Democratic,2913
Arkansas,1926,House,7,Tilman B. Parks,Democratic,3498
California,1926,House,1,Clarence F. Lea,Democrat-Republican,60207
California,1926,House,2,Harry L. Englebright,Republican,32264
California,1926,House,2,Scattering,Other,55
California,1926,House,3,Charles F. Curry,Republican-Democrat,72912
California,1926,House,3,Scattering,Other,12
California,1926,House,4,Florence P. Kahn,Republican,37353
California,1926,House,4,Chauncey F. Tramutolo,Democrat,18210
California,1926,House,4,William McDevitt,Socialist,2960
California,1926,House,5,Richard J. Welch,Republican-Democrat,47694
California,1926,House,6,Albert E. Carter,Republican,91995
California,1926,House,7,Henry E. Barbour,Republican-Democrat,73271
California,1926,House,7,Scattering,Other,12
California,1926,House,8,Arthur M. Free,Republican,60384
California,1926,House,8,Philip R. Sheehy,Democrat,28836
California,1926,House,8,Scattering,Other,34
California,1926,House,9,W. E. Evans,Republican,102270
California,1926,House,9,Charles H. Randall,Prohibition-Democrat,61710
California,1926,House,9,Charles F. Conley,Socialist,7943
California,1926,House,9,Scattering,Other,13
California,1926,House,10,Joe Crail,Republican-Democrat-Prohibition,144677
California,1926,House,10,S. Parson Wright,Socialist,21907
California,1926,House,10,Scattering,Other,48
California,1926,House,11,Philip D. Swing,Republican-Democrat,89729
California,1926,House,11,Scattering,Other,14
Delaware,1926,House,,Robert G. Houston,Republican,38919
Delaware,1926,House,,Merrill H. Tilghman,Democrat,29424
Florida,1926,Senate,,Duncan U. Fletcher,Democratic,51054
Florida,1926,Senate,,John M. Lindsay,Republican,8381
Florida,1926,Senate,,W. R. O'Neal,Republican,6133
Florida,1926,House,1,Herbert J. Drane,Democratic,16034
Florida,1926,House,1,Ora E. Chapin,Republican,6007
Florida,1926,House,2,R. A. Green,Democratic,6727
Florida,1926,House,2,W. P. Rievits,Republican,1080
Florida,1926,House,3,Lex Green,Democratic,7156
Florida,1926,House,3,J. H. Drummond,Republican,1084
Florida,1926,House,4,William J. Sears,Democratic,19878
Florida,1926,House,4,W. C. Lawson,Republican,4215
Florida,1926,House,4,E. D. Housholder,Republican,2783
Georgia,1926,Senate,,Walter F. George,Democratic,47866
Georgia,1926,House,1,Charles G. Edwards,Democratic,7651
Georgia,1926,House,2,E. E. Cox,Democratic,2384
Georgia,1926,House,3,Charles R. Crisp,Democratic,3422
Georgia,1926,House,4,William C. Wright,Democratic,2583
Georgia,1926,House,5,Leslie J. Steele,Democratic,2916
Georgia,1926,House,6,Samuel Rutherford,Democratic,2365
Georgia,1926,House,7,Malcolm C. Tarver,Democratic,5902
Georgia,1926,House,8,Charles H. Brand,Democratic,3124
Georgia,1926,House,9,Thomas M. Bell,Democratic,7783
Georgia,1926,House,10,Carl Vinson,Democratic,3015
Georgia,1926,House,11,William C. Lankford,Democratic,4072
Georgia,1926,House,12,William W. Larsen,Democratic,2389
Idaho,1926,Senate,,Frank R. Gooding,Republican,56847
Idaho,1926,Senate,,John F. Nugent,Democratic,31285
Idaho,1926,Senate,,H. F. Samuels,Progressive,37047
Idaho,1926,House,1,Burton L. French,Republican,31250
Idaho,1926,House,1,L. L. Burtenshaw,Democrat-Progressive,15903
Idaho,1926,House,1,Addison T. Smith,Republican,40461
Idaho,1926,House,2,H. P. Fait,Progressive,15308
Idaho,1926,House,2,Mary George Gray,Democratic,11259
Illinois,1926,Senate,,Frank L. Smith,Republican,842273
Illinois,1926,Senate,,George E. Brennan,Democratic,774943
Illinois,1926,Senate,,Hugh S. Magill,Independent Republican,156245
Illinois,1926,Senate,,Parley Parker Christensen,Progressive,6526
Illinois,1926,Senate,,Raymond T. O'Keefe,Light Wines and Beer,4566
Illinois,1926,Senate,,James H. Kirby,Independent Democrat,4203
Illinois,1926,Senate,,John T. Whitlock,Socialist,2628
Illinois,1926,Senate,,G. A. Jenning,Socialist-Labor,1977
Illinois,1926,Senate,,J. Louis Engdahl,Workers Communist,1309
Illinois,1926,Senate,,James A. Logan,High Life,1101
Illinois,1926,Senate,,Samuel C. Irving,Independent,701
Illinois,1926,Senate,,Morris Lynchenheim,Commonwealth Land,427
Indiana,1926,Senate,,Arthur R. Robinson,Republican,519401
Indiana,1926,Senate,,Evans Woollen,Democratic,496549
Indiana,1926,Senate,,Albert Stanley,Prohibitionist,5205
Indiana,1926,Senate,,William O. Pogleson,Socialist,4864
Indiana,1926,Senate,,James E. Watson,Republican,522837
Indiana,1926,Senate,,Albert Stump,Democratic,511454
Indiana,1926,Senate,,William H. Harris,Prohibitionist,5520
Indiana,1926,Senate,,Forrest Wallace,Socialist,5106
Iowa,1926,Senate,,David W. Stewart,Republican,336410
Iowa,1926,Senate,,Smith W. Brookhart,Republican,323409
Iowa,1926,Senate,,Claude R. Porter,Democratic,247869
Kansas,1926,Senate,,Charles Curtis,Republican,308222
Kansas,1926,Senate,,Charles Stephens,Democratic,168146
Kansas,1926,Senate,,M. L. Phillips,Socialist,8208
Kentucky,1926,Senate,,Alben W. Barkley,Democratic,286907
Kentucky,1926,Senate,,Richard P. Ernst,Republican,266637
Louisiana,1926,Senate,,Edwin S. Broussard,Democratic,54180
Maine,1926,Senate,,Arthur R. Gould,Republican,79498
Maine,1926,Senate,,Fulton J. Redman,Democratic,31225
Maryland,1926,Senate,,Millard E. Tydings,Democratic,195410
Maryland,1926,Senate,,Ovington E. Weller,Republican,140695
Maryland,1926,Senate,,William A. Toole,Socialist,3659
Massachusetts,1926,Senate,,David I. Walsh,Democratic,525303
Massachusetts,1926,Senate,,William M. Butler,Republican,469980
Massachusetts,1926,Senate,,John J. Ballam,Workers,5167
Massachusetts,1926,Senate,,Washington Cook,Modification Volstead Act,1756
Massachusetts,1926,Senate,,Alfred Baker Lewis,Socialist,4790
Massachusetts,1926,Senate,,Scattering,Other,11
Missouri,1926,Senate,,Harry B. Hawes,Democratic,514389
Missouri,1926,Senate,,George H. Williams,Republican,473068
Missouri,1926,Senate,,Harry B. Hawes,Democratic,506015
Missouri,1926,Senate,,George H. Williams,Republican,470054
Missouri,1926,Senate,,Paris,Prohibitionist,7540
Missouri,1926,Senate,,Robert D. Morrison,Socialist,1807
Missouri,1926,Senate,,William W. Cox,Socialist-Labor,464
Nevada,1926,Senate,,Tasker L. Oddie,Republican,17430
Nevada,1926,Senate,,Raymond T. Baker,Democratic,13273
Nevada,1926,Senate,,George A. Bice,Independent,543
New Hampshire,1926,Senate,,George H. Moses,Republican,79279
New Hampshire,1926,Senate,,Robert C. Murchie,Democratic,47935
New Mexico,1926,House,,John Morrow,Democratic,55433
New Mexico,1926,House,,Juan A. A. Sedillo,Republican,52075
New Mexico,1926,House,,E. E. Denniston,Socialist,287
New York,1926,Senate,,Robert F. Wagner,Democratic,1321463
New York,1926,Senate,,James W. Wadsworth Jr.,Republican,1205246
New York,1926,Senate,,F. W. Cristman,Independent Republican,231406
New York,1926,Senate,,Jessie W. Hughan,Socialist,76412
New York,1926,Senate,,William F. Dunne,Workers,9644
New York,1926,Senate,,Joseph Brandon,Socialist-Labor,4342
New York,1926,Senate,,Blank void and scattering,Other,131447
North Carolina,1926,Senate,,Lee S. Overman,Democratic,218934
North Carolina,1926,Senate,,Johnson J. Hayes,Republican,142891
North Dakota,1926,Senate,,Gerald P. Nye,Republican,107921
North Dakota,1926,Senate,,Norris H. Nelson,Independent,18951
North Dakota,1926,Senate,,P. F. Burchard,Democratic,13718
North Dakota,1926,Senate,,C. P. Stone,Independent,9739
North Dakota,1926,Senate,,William Lemke,Independent,4977
Ohio,1926,Senate,,Frank B. Willis,Republican,711359
Ohio,1926,Senate,,Atlee Pomerene,Democratic,623221
Ohio,1926,Senate,,Goerke,Socialist-Labor,2846
Oklahoma,1926,Senate,,Elmer Thomas,Democratic,195587
Oklahoma,1926,Senate,,John W. Harreld,Republican,155839
Oklahoma,1926,Senate,,J. A. Hart,Socialist,1069
Oklahoma,1926,Senate,,J. Edwin Spurr,Farmer-Labor,731
Oklahoma,1926,Senate,,Thomas P. Hopley,Independent,143
Oregon,1926,Senate,,Frederick Steiwer,Republican,89007
Oregon,1926,Senate,,Bert E. Haney,Democratic,81301
Oregon,1926,Senate,,Robert N. Stanfield,Independent,60244
Oregon,1926,Senate,,W. P. Adams,Independent,3145
Pennsylvania,1926,Senate,,William S. Vare,Republican,822187
Pennsylvania,1926,Senate,,William B. Wilson,Democrat-Labor,658580
Pennsylvania,1926,Senate,,Elisha Kent Kane,Prohibition,16523
Pennsylvania,1926,Senate,,George W. Snyder,Socialist,9869
Pennsylvania,1926,Senate,,A. J. Carey,Workers,3094
Pennsylvania,1926,Senate,,Robert C. Macauley,Com. Land,1053
Pennsylvania,1926,Senate,,Scattering,Other,290
South Carolina,1926,Senate,,Ellison D. Smith,Democratic,14560
South Dakota,1926,Senate,,Peter Norbeck,Republican,108619
South Dakota,1926,Senate,,C. J. Gunderson,Democratic,59094
South Dakota,1926,Senate,,Howard Platt,Farmer-Labor,12584
Utah,1926,Senate,,Reed Smoot,Republican,88101
Utah,1926,Senate,,Ashby Snow,Democratic,53809
Utah,1926,Senate,,C. T. Stoney,Socialist,1310
Vermont,1926,Senate,,Porter H. Dale,Republican-Prohibition,52286
Vermont,1926,Senate,,James E. Kennedy,Democrat-Republican,18890
Vermont,1926,Senate,,Scattering,Other,52
Wisconsin,1926,Senate,,John J. Blaine,Republican,299759
Wisconsin,1926,Senate,,Charles D. Rosa,Independent Progressive Republican,111122
Wisconsin,1926,Senate,,Thomas M. Kearney,Democratic,66572
Wisconsin,1926,Senate,,Leo Krzycki,Socialist,31817
Wisconsin,1926,Senate,,J. N. Tittemore,Independent,23522
Wisconsin,1926,Senate,,Ella T. Sanford,Prohibition,9885
Wisconsin,1926,Senate,,Richard Koeppel,Independent Socialist-Labor,8161
Wisconsin,1926,Senate,,Scattering,Other,130
New York,1926,House,1,Robert L. Bacon,Republican,82090
New York,1926,House,1,W. Irving Vanderpool,Democratic,45099
New York,1926,House,1,William Herman,Socialist,1764
New York,1926,House,1,Blank void and scattering,Other,7123
Ohio,1926,House,1,Nicholas Longworth,Republican,45317
Ohio,1926,House,1,John C. Rogers,Democratic,26511
Ohio,1926,House,1,Edward D. Colley,Independent,318
Pennsylvania,1926,House,1,James M. Hazlett,Republican,64791
Pennsylvania,1926,House,1,William L. Rooney,Democratic,4799
Pennsylvania,1926,House,1,William J. Smith,Socialist,162
Pennsylvania,1926,House,1,Francis J. Prominee,Com. Land,77
Washington,1926,Senate,,Wesley L. Jones,Republican,164130
Washington,1926,Senate,,A. Scott Bullitt,Democratic,143753
Washington,1926,Senate,,David Burgess,Socialist-Labor,3518
Washington,1926,Senate,,J. L. Freeman,Farmer-Labor,3437
Washington,1926,House,1,John F. Miller,Republican,35944
Washington,1926,House,1,Stephen F. Chadwick,Democratic,24401
Washington,1926,House,2,Lindley H. Hadley,Republican,35470
Washington,1926,House,2,Frances C. Axtell,Democratic,15876
Washington,1926,House,2,August Toellner,Independent,454
Wyoming,1926,House,,Charles E. Winter,Republican,39392
Wyoming,1926,House,,Thomas M. Fagan,Democratic,25082
Wyoming,1926,House,,Daniel A. Hastings,Radical,300
Alaska,1926,House,,Dan A. Sutherland,Republican,8170
Alaska,1926,House,,Thomas A. Marquam,Democratic,4855
Hawaii,1926,House,,Victor Houston,Republican,2489
Hawaii,1926,House,,William P. Jarrett,Democratic,1830
