STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1958,Representative,1,Frank W. Boykin,Democrat,23099
ALABAMA,1958,Representative,2,George M. Grant,Democrat,27972
ALABAMA,1958,Representative,3,George W. Andrews,Democrat,17389
ALABAMA,1958,Representative,4,Kenneth A. Roberts,Democrat,25133
ALABAMA,1958,Representative,5,Albert Rains,Democrat,31687
ALABAMA,1958,Representative,6,Armistead I. Selden Jr.,Democrat,18557
ALABAMA,1958,Representative,7,Carl Elliott,Democrat,29936
ALABAMA,1958,Representative,8,Robert E. Jones,Democrat,22710
ALABAMA,1958,Representative,9,George Huddleston Jr.,Democrat,38229
ALABAMA,1958,Representative,9,Frank L. Mason,Republican,6050
ALASKA,1958,Senate,,E. L. (Bob) Bartlett,Democrat,40939
ALASKA,1958,Senate,,R. E. Robertson,Republican,7299
ALASKA,1958,Senate,,Keith Capper,Write-in,599
ALASKA,1958,Senate,,Ernest Gruening,Democrat,26045
ALASKA,1958,Senate,,Mike Stepovich,Republican,23464
ALASKA,1958,Representative,,Ralph J. Rivers,Democrat,27948
ALASKA,1958,Representative,,Henry A. Benson,Republican,20099
ARIZONA,1958,House,1,Joe Haldiman Jr.,Democrat,59816
ARIZONA,1958,House,1,John J. Rhodes,Republican,86959
ARIZONA,1958,House,2,Stewart L. Udall,Democrat,79651
ARIZONA,1958,House,2,John G. Speiden,Republican,51140
ARIZONA,1958,Senate,,Ernest W. McFarland,Democrat,129030
ARIZONA,1958,Senate,,Barry Goldwater,Republican,164593
ARKANSAS,1958,House,1,E. C. Gathings,Democrat,0
ARKANSAS,1958,House,2,Wilbur D. Mills,Democrat,0
ARKANSAS,1958,House,3,James W. Trimble,Democrat,0
ARKANSAS,1958,House,4,Oren Harris,Democrat,0
ARKANSAS,1958,House,5,Brooks Hays,Democrat,29483
ARKANSAS,1958,House,5,Dale Alford,Write-in,30739
ARKANSAS,1958,House,6,W. F. Norrell,Democrat,0
Alabama,1958,Congressional,,Unknown,Democratic,231712
Alabama,1958,Congressional,,Unknown,Republican,48504
Alaska,1958,Congressional,,Unknown,Democratic,17458
Alaska,1958,Congressional,,Unknown,Republican,15045
Arizona,1958,Congressional,,Unknown,Democratic,95481
Arizona,1958,Congressional,,Unknown,Republican,92670
Arkansas,1958,Congressional,,Unknown,Democratic,210518
Arkansas,1958,Congressional,,Unknown,Republican,36449
CALIFORNIA,1958,House,1,Clement W. Miller,Democrat,102096
CALIFORNIA,1958,House,1,Frederick G. Dupuis,Republican,83807
