STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1946,House,1,Frank W. Boykin,Democrat,12448
ALABAMA,1946,House,2,George M. Grant,Democrat,17711
ALABAMA,1946,House,3,George Andrews,Democrat,13397
ALABAMA,1946,House,4,Sam Hobbs,Democrat,16299
ALABAMA,1946,House,4,Roger S. Bingham,Republican,2207
ALABAMA,1946,House,5,Albert Rains,Democrat,21560
ALABAMA,1946,House,6,Pete Jarman,Democrat,13851
ALABAMA,1946,House,7,Carter Manasco,Democrat,22853
ALABAMA,1946,House,7,W. H. Woodward,Republican,8565
ALABAMA,1946,House,8,John J. Sparkman,Democrat,17624
ALABAMA,1946,House,8,Arthur South,Republican,1453
ALABAMA,1946,House,9,Laurie C. Battle,Democrat,29940
ALABAMA,1946,House,9,J. G. Bass,Republican,1880
ALABAMA,1946,Senate,,John Sparkman,Democrat,163217
ALASKA,1946,Delegate,,E. L. Bartlett,Democrat,11516
ALASKA,1946,Delegate,,Almer J. Peterson,Republican,4868
ARIZONA,1946,Senate,,Ernest W. McFarland,Democrat,80415
ARIZONA,1946,Senate,,Ward S. Powers,Republican,35022
ARIZONA,1946,Senate,,Morris Graham,Communist,802
ARIZONA,1946,House,,John R. Murdock,Democrat,74948
ARIZONA,1946,House,,Richard F. Harless,Democrat,71836
ARIZONA,1946,House,,Denver C. Henson,Republican,37033
ARIZONA,1946,House,,John H. Curnutte,Republican,36183
ARIZONA,1946,House,,Karl M. Wilson,Communist,831
ARIZONA,1946,House,,At large,Republican,37033
ARIZONA,1946,House,,At large,Democrat,74948
ARIZONA,1946,House,,At large,Communist,831
ARIZONA,1946,Senate,,,Republican,35622
ARIZONA,1946,Senate,,,Democrat,80415
ARIZONA,1946,Senate,,,Communist,802
ARKANSAS,1946,House,1,E. C. Gathings,Democrat,20250
ARKANSAS,1946,House,2,Wilbur D. Mills,Democrat,22955
ARKANSAS,1946,House,3,J. W. Trimble,Democrat,24950
ARKANSAS,1946,House,4,Fadjo Cravens,Democrat,13844
ARKANSAS,1946,House,4,Brooks Hays,Democrat,21777
ARKANSAS,1946,House,5,James R. Harris,Republican,2581
ARKANSAS,1946,House,5,Earl C. Sowder,Independent Republican,865
ARKANSAS,1946,House,6,W. F. Norrell,Democrat,23862
ARKANSAS,1946,House,6,M. O. Evans,Independent,4305
ARKANSAS,1946,House,7,Oren Harris,Democrat,15584
Alabama,1946,House,,,,171882
Arizona,1946,House,,,,173438
Arizona,1946,Senate,,,,156292
Arizona,1946,Senate,,,,86115
Arkansas,1946,House,,,,223523
Arkansas,1946,Senate,,,,156292
Arkansas,1946,Senate,,,,86115
CALIFORNIA,1946,House,22,John Phillips,Republican,59935
CALIFORNIA,1946,House,22,Ray Atkinson,Democrat,36649
CALIFORNIA,1946,House,22,,Scattering,11
CALIFORNIA,1946,House,23,Charles K. Fletcher,Republican,69413
CALIFORNIA,1946,House,23,Ed. V. Izac,Democrat,53898
CALIFORNIA,1946,Senate,,William F. Knowland,Write-in,425273
CALIFORNIA,1946,Senate,,Will Rogers Jr.,Write-in,90723
CALIFORNIA,1946,Senate,,Douglas Corrigan,Write-in,2464
CALIFORNIA,1946,Senate,,George H. McLain,Write-in,17883
CALIFORNIA,1946,Senate,,Hartley F. Peart,Write-in,1353
CALIFORNIA,1946,Senate,,Vic Meyers,Write-in,1115
CALIFORNIA,1946,Senate,,Ellis E. Patterson,Write-in,3889
CALIFORNIA,1946,Senate,,George C. Highley,Write-in,1268
CALIFORNIA,1946,Senate,,Aubrey D. Lewis,Write-in,519
CALIFORNIA,1946,Senate,,Frank F. Merriam,Write-in,507
CALIFORNIA,1946,Senate,,James Moran,Write-in,918
CALIFORNIA,1946,Senate,,Ben Rinaldo,Write-in,765
CALIFORNIA,1946,Senate,,Moody Staten,Write-in,494
CALIFORNIA,1946,Senate,,Scattering,Write-in,25019
COLORADO,1946,House,1,John A. Carroll,Democrat,60513
COLORADO,1946,House,1,Dean M. Gillespie,Republican,55724
