STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1984,House,1,Frank McWright,Democratic,98455
ALABAMA,1984,House,1,"H. L. ""Sonny"" Callahan",Republican,102479
ALABAMA,1984,House,2,Larry Lee,Democratic,75506
ALABAMA,1984,House,2,Bill Dickinson,Republican,118153
ALABAMA,1984,House,2,"Frank Tipler, III",Libertarian,2156
ALABAMA,1984,House,3,Bill Nichols,Democratic,120357
ALABAMA,1984,House,3,Mark Thornton,Libertarian,4745
ALABAMA,1984,House,4,Tom Bevill,Democratic,120106
ALABAMA,1984,House,5,Ronnie G. Flippo,Democratic,140542
ALABAMA,1984,House,5,D. M. (Sam) Samsil,Libertarian,6033
ALABAMA,1984,House,6,Ben Erdreich,Democratic,130973
ALABAMA,1984,House,6,"J. T. ""Jake"" Waggoner",Republican,87550
ALABAMA,1984,House,6,Steve Smith,Libertarian,1043
ALABAMA,1984,House,6,Mark Curtis,Socialist Workers,144
ALABAMA,1984,House,7,Richard Shelby,Democratic,135834
ALABAMA,1984,House,7,"Charles ""Chuck"" Ewing",Libertarian,4498
ALABAMA,1984,Presidential,,,,551899
ALABAMA,1984,Presidential,,,,872849
ALABAMA,1984,Presidential,,,,9504
ALABAMA,1984,Presidential,,,,4671
ALABAMA,1984,Presidential,,,,1401
ALABAMA,1984,Presidential,,,,730
ALABAMA,1984,Presidential,,,,659
ALASKA,1984,House,0,Pegge Begich,Democratic,86052
ALASKA,1984,House,0,Donald E. Young,Republican,113582
ALASKA,1984,House,0,Betty Breck,Independent,6508
ALASKA,1984,House,0,Other,,295
ALASKA,1984,President,,,,62007
ALASKA,1984,President,,,,138377
ALASKA,1984,President,,,,6378
ALASKA,1984,President,,,,843
ALASKA,1984,Senate,,John E. Havelock,Democratic,58804
ALASKA,1984,Senate,,Ted Stevens,Republican,146919
ALASKA,1984,Senate,,Other,,715
AMERICAN SAMOA,1976,DELEGATE,,Fofo I. F. Sunia,Democratic,5931
AMERICAN SAMOA,1976,DELEGATE,,Aumoeualogo Salanoa Soli,Independent,3164
ARIZONA,1984,House,1,"Harry W. Braun, III",Democratic,45609
ARIZONA,1984,House,1,John McCain,Republican,162418
ARIZONA,1996,House,1,,Democratic,45609
ARIZONA,1996,House,1,,Republican,162418
ARIZONA,1984,House,2,Morris K. Udall,Democratic,106332
ARIZONA,1984,House,2,Lorenzo Torres,People Before Profits,14869
ARIZONA,1984,House,2,Other,,14
ARIZONA,1996,House,2,,Democratic,106332
ARIZONA,1996,House,2,,Republican,156666
ARIZONA,1996,House,2,,Libertarian,3294
ARIZONA,1996,House,2,,People before Profits,14869
ARIZONA,1984,House,3,Bob Schuster,Democratic,57748
ARIZONA,1984,House,3,Bob Stump,Republican,156686
ARIZONA,1984,House,3,Lorraina M. Valencia,Libertarian,3984
ARIZONA,1996,House,3,,Democratic,57748
ARIZONA,1996,House,3,,Republican,167558
ARIZONA,1984,House,4,Eldon Rudd,Republican,167558
ARIZONA,1984,House,4,Other,,57
ARIZONA,1996,House,4,,Democratic,109871
ARIZONA,1996,House,4,,Republican,116075
ARIZONA,1996,House,4,,Libertarian,1592
ARIZONA,1984,House,5,Jim McNulty,Democratic,109871
ARIZONA,1984,House,5,Jim Kolbe,Republican,116075
ARIZONA,1984,House,5,Herb Johnson,Libertarian,1992
ARIZONA,1996,House,5,,Democratic,319560
