STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1970,House,1,John M. Tyson,Democrat,27457
ALABAMA,1970,House,1,Jack Edwards,Republican,63457
ALABAMA,1970,House,1,Noble Beasley,National Democrat,13798
ALABAMA,1970,House,2,Albert J. Jack Winfield,Democrat,25966
ALABAMA,1970,House,2,William Bill Dickinson,Republican,62316
ALABAMA,1970,House,2,Percy Smith Jr,National Democrat,13281
ALABAMA,1970,House,3,George W. Andrews,Democrat,70015
ALABAMA,1970,House,3,Detroit Lee,National Democrat,8237
ALABAMA,1970,House,3,Bill Nichols,Democrat,77597
ALABAMA,1970,House,4,Glenn Andrews,Republican,13217
ALABAMA,1970,House,4,Wilpha Harrel Jr,National Democrat,1903
ALABAMA,1970,House,5,Walter Flowers,Democrat,78398
ALABAMA,1970,House,5,J.E. Rogers,National Democrat,24863
ALABAMA,1970,House,6,John C. Schmarkey,Democrat,31578
ALABAMA,1970,House,6,John Buchanan,Republican,50060
ALABAMA,1970,House,6,Dan Moore,Conservative,1900
ALABAMA,1970,House,7,Tom Bevill,Democrat,87797
ALABAMA,1970,House,7,Bob Jones,Democrat,76413
ALABAMA,1970,House,8,Ken Hearn,Conservative,7599
ALABAMA,1970,House,8,Thomas Lee Harris,Independent,1200
ALABAMA,1970,House,8,Thornton Stanley,National Democrat,4846
ALASKA,1970,Senate,,Wendell P. Kay,Democrat,32456
ALASKA,1970,Senate,,Ted Stevens,Republican,47908
ALASKA,1970,House,,N. J. Begich,Democrat,44137
ALASKA,1970,House,,Frank H. Murkowski,Republican,35947
ARIZONA,1964,House,1,Gerald A. Pollock,Democrat,45870
ARIZONA,1964,House,1,John J. Rhodes,Republican,99706
ARIZONA,1964,House,2,Morris K. Udall,Democrat,86769
ARIZONA,1964,House,2,Morris Herring,Republican,37361
ARIZONA,1964,House,2,Cliff (Tamale) Thomallo,American Independent,1357
ARIZONA,1964,House,3,Orren Beaty,Democrat,49026
ARIZONA,1964,House,3,Sam Steiger,Republican,81239
ARIZONA,1964,Senate,,Sam Grossman,Democrat,179512
ARIZONA,1964,Senate,,Paul Fannin,Republican,228284
ARKANSAS,1964,House,2,Wilbur D. Mills,Democrat,57679
ARKANSAS,1964,House,3,John Paul Hammerschmidt,Republican,115532
Alabama,1970,Democrat,,,,492155
Alabama,1970,Republican,,,,189594
Alabama,1932,Presidential,,,,179512
Alaska,1970,Democrat,,,,42137
