STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1954,House,1,Frank W. Boykin,Democrat,27462
ALABAMA,1954,House,2,George M. Grant,Democrat,30661
ALABAMA,1954,House,3,George W. Andrews,Democrat,22371
ALABAMA,1954,House,3,,Write-In,1
ALABAMA,1954,House,4,Kenneth A. Roberts,Democrat,28660
ALABAMA,1954,House,5,Albert Rains,Democrat,38257
ALABAMA,1954,House,6,Armistead I. Selden Jr.,Democrat,18753
ALABAMA,1954,House,7,Carl Elliott,Democrat,31988
ALABAMA,1954,House,7,W. G. Engle,Republican,8547
ALABAMA,1954,House,8,Robert E. Jones Jr.,Democrat,29414
ALABAMA,1954,House,8,Adin Batson,Republican,2689
ALABAMA,1954,House,9,George Huddleston Jr.,Democrat,40986
ALABAMA,1954,Senate,,John J. Sparkman,Democrat,259348
ALABAMA,1954,Senate,,J. Foy Guin Jr.,Republican,55110
ALASKA,1954,DELEGATE,,E. L. (Bob) Bartlett,Democrat,19916
ALASKA,1954,DELEGATE,,Mrs. Barbara D. Dimock,Republican,7083
ARIZONA,1954,House,1,John J. Rhodes,Republican,60423
ARIZONA,1954,House,1,L. S. (Dick) Adams,Democrat,53307
ARIZONA,1954,House,1,,,53307
ARIZONA,1954,House,2,Stewart L. Udall,Democrat,68085
ARIZONA,1954,House,2,Henry Zipf,Republican,41587
ARIZONA,1954,House,2,,,68085
ARKANSAS,1954,House,1,E. C. Gathings,Democrat,38951
ARKANSAS,1954,House,2,Wilbur D. Mills,Democrat,33038
ARKANSAS,1954,House,3,James W. Trimble,Democrat,60035
ARKANSAS,1954,House,4,Oren Harris,Democrat,51579
ARKANSAS,1954,House,5,Brooks Hays,Democrat,51528
ARKANSAS,1954,House,6,W. F. Norrell,Democrat,44833
ARKANSAS,1954,Senate,,John L. McClellan,Democrat,291058
Alabama,1954,Congressional,,Unknown,Democratic,208502
Alabama,1954,Congressional,,Unknown,Republican,113039
Alabama,1954,Senate,,John Sparkman,Democrat,223848
Alabama,1954,Senate,,Tom Abernethy,Republican,82110
Alaska,1954,Congressional,,,,22177
Arizona,1954,Congressional,,Unknown,Democratic,57746
Arizona,1954,Congressional,,Unknown,Republican,78364
Arkansas,1954,Congressional,,Unknown,Democratic,147895
Arkansas,1954,Congressional,,Unknown,Republican,67077
Arkansas,1954,Senate,,William Fulbright,Democrat,226088
Arkansas,1954,Senate,,G.O. Ellis,Republican,48102
CALIFORNIA,1954,House,1,Hubert B. Scudder,Republican,83762
CALIFORNIA,1954,House,1,Max Kortum,Democrat,58004
CALIFORNIA,1954,House,2,Clair Engle,Democrat,113104
CALIFORNIA,1954,House,26,James Roosevelt,Democrat,94261
CALIFORNIA,1954,House,26,Theodore R. (Ted) Owings,Republican,62585
CALIFORNIA,1954,House,26,,Scattering,17
CALIFORNIA,1954,House,27,Harry R. Sheppard,Democrat,65389
CALIFORNIA,1954,House,27,Martin K. Barrett,Republican,35594
CALIFORNIA,1954,House,27,,Scattering,3
CALIFORNIA,1954,House,28,James B. Utt,Republican,95682
CALIFORNIA,1954,House,28,Harriet Enderle,Democrat,48785
CALIFORNIA,1954,House,29,John Phillips,Republican,42420
CALIFORNIA,1954,House,29,Bruce Shangle,Democrat,30781
CALIFORNIA,1954,House,29,,Scattering,7
CALIFORNIA,1954,House,3,John E. Moss Jr.,Democrat,96238
CALIFORNIA,1954,House,3,James H. Phillips,Republican,51111
CALIFORNIA,1954,House,30,Bob Wilson,Republican,94623
CALIFORNIA,1954,House,30,Ross T. McIntire,Democrat,61994
CALIFORNIA,1954,House,30,,Scattering,3
CALIFORNIA,1954,House,4,William S. Mailliard,Republican,88439
CALIFORNIA,1954,House,4,Philip A. O'Rourke,Democrat,52980
CALIFORNIA,1954,House,4,George R. Anderson,Independent-Progressive,2987
CALIFORNIA,1954,House,5,John F. Shelley,Democrat,86428
CALIFORNIA,1954,House,6,John R. Baldwin Jr.,Republican,72336
CALIFORNIA,1954,House,6,Robert L. Condon,Democrat,69776
CALIFORNIA,1954,House,7,John J. Allen Jr.,Republican,64083
CALIFORNIA,1954,House,7,Stanley K. Crook,Democrat,56807
CALIFORNIA,1954,Senate,,Thomas H. Kuchel,Republican,2090836
CALIFORNIA,1954,Senate,,Samuel W. Yorty,Democrat,1788071
CALIFORNIA,1954,Senate,,Isobel M. Cerney,Independent-Progressive,50506
COLORADO,1954,House,1,Byron G. Rogers,Democrat,84745
COLORADO,1954,House,1,Ellen G. Harris (Mrs.),Republican,67210
COLORADO,1954,House,1,Carle Whitehead,Socialist,415
COLORADO,1954,House,2,William S. Hill,Republican,80162
COLORADO,1954,House,2,Lacey L. Wilkinson,Democrat,64806
COLORADO,1954,House,3,J. Edgar Chenoweth,Republican,62884
COLORADO,1954,House,3,Alva B. Adams,Democrat,55750
COLORADO,1954,House,4,Wayne N. Aspinall,Democrat,34294
COLORADO,1954,House,4,Charles E. Wilson,Republican,29818
COLORADO,1954,Senate,,Gordon Allott,Republican,248502
COLORADO,1954,Senate,,John A. Carroll,Democrat,235686
CONNECTICUT,1954,House,1,Unknown,Democrat,148935
CONNECTICUT,1954,House,1,Unknown,Republican,112520
CONNECTICUT,1954,House,1,Thomas J. Dodd,Democrat,148935
CONNECTICUT,1954,House,1,Wallace Barnes,Republican,112526
CONNECTICUT,1954,House,2,Unknown,Democrat,87453
CONNECTICUT,1954,House,2,Unknown,Republican,72583
CONNECTICUT,1954,House,2,Horace Seely-Brown Jr.,Republican,72833
CONNECTICUT,1954,House,2,Henry H. Pierce Jr.,Democrat,70853
CONNECTICUT,1954,House,3,Unknown,Democrat,86399
CONNECTICUT,1954,House,3,Unknown,Republican,94677
CONNECTICUT,1954,House,3,Albert W. Cretella,Republican,94977
CONNECTICUT,1954,House,3,James P. Gartland,Democrat,85369
CONNECTICUT,1954,House,4,Unknown,Democrat,91184
CONNECTICUT,1954,House,4,Unknown,Republican,123390
CONNECTICUT,1954,House,4,Unknown,Socialist,5413
CONNECTICUT,1954,House,4,Albert P. Morano,Republican,123890
CONNECTICUT,1954,House,4,Edward R. Fay Jr.,Democrat,91184
CONNECTICUT,1954,House,4,Stanley W. Mayhew,Socialist,5413
CONNECTICUT,1954,House,5,Unknown,Democrat,61313
CONNECTICUT,1954,House,5,Unknown,Republican,68431
CONNECTICUT,1954,House,5,James T. Patterson,Republican,68451
CONNECTICUT,1954,House,5,David Brady,Democrat,61313
CONNECTICUT,1954,House,,Antoni N. Sadlak,Republican,474585
CONNECTICUT,1954,House,,Joseph F. Lyford,Democrat,455887
CONNECTICUT,1954,House,,Scattering,,1938
California,1954,Representative,10,Charles S. Gubser,Republican,94418
California,1954,Representative,10,Paul V. Birmingham,Democrat,59843
California,1954,Representative,11,Leroy Johnson,Republican,54716
California,1954,Representative,11,Carl Sugar,Democrat,49388
California,1954,Representative,11,,Scattering,8
California,1954,Representative,12,B. F. Sisk,Democrat,63911
California,1954,Representative,12,A. Oakley Hunter,Republican,54903
California,1954,Representative,12,,Scattering,2
California,1954,Representative,13,Charles M. Teague,Republican,69287
California,1954,Representative,13,Timothy I. O'Reilly,Democrat,62786
California,1954,Representative,13,,Scattering,2
California,1954,Representative,14,Harlan Hagen,Democrat,75194
California,1954,Representative,14,Al Blain,Republican,40270
California,1954,Representative,14,,Scattering,1
California,1954,Representative,15,Gordon L. McDonough,Republican,77651
California,1954,Representative,15,Frank P. O'Sullivan,Democrat,58785
California,1954,Representative,15,,Scattering,9
California,1954,Representative,16,Donald L. Jackson,Republican,63124
California,1954,Representative,16,S. Mark Hogue,Democrat,40659
California,1954,Representative,16,,Scattering,28
California,1954,Representative,17,Cecil R. King,Democrat,97897
California,1954,Representative,17,Robert H. Finch,Republican,64967
California,1954,Representative,17,,Scattering,18
California,1954,Representative,18,Craig Hosmer,Republican,71731
California,1954,Representative,18,Joseph M. Kennick,Democrat,58647
California,1954,Representative,18,,Scattering,14
California,1954,Representative,19,Chet Holifield,Democrat,90209
California,1954,Representative,19,Raymond R. Pritchard,Republican,30494
California,1954,Representative,19,,Scattering,13
California,1954,Representative,20,Carl Hinshaw,Republican,71213
