STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1942,House,1,Frank W. Boykin,Democrat,5600
ALABAMA,1942,House,2,George M. Grant,Democrat,6672
ALABAMA,1942,House,3,Henry B. Steagall,Democrat,5043
ALABAMA,1942,House,4,Sam Hobbs,Democrat,7468
ALABAMA,1942,House,5,Joe Starnes,Democrat,11841
ALABAMA,1942,House,6,Pete Jarman,Democrat,7556
ALABAMA,1942,House,7,Carter Manasco,Democrat,9788
ALABAMA,1942,House,8,John J. Sparkman,Democrat,5934
ALABAMA,1942,House,9,John R. Newsome,Democrat,8802
ALABAMA,1942,House,9,C. B. Holliman,Republican,378
ALABAMA,1942,House,9,Rob F. Hall,Communist,29
ALABAMA,1942,Senate,,John H. Bankhead 2d,Democrat,69212
ALASKA,1942,Delegate,,Anthony J. Dimond,Democrat,6063
ARIZONA,1942,Representatives,,Richard F. Harless,Democrat,56357
ARIZONA,1942,Representatives,,John R. Murdock,Democrat,55825
ARIZONA,1942,Representatives,,George R. Darnell,Republican,23015
ARIZONA,1942,Representatives,,Joseph S. Jones Jr.,Republican,18205
ARIZONA,1942,Representatives,,Morris Graham,Communist,375
ARKANSAS,1942,Representatives,1,E. C. Gathings,Democrat,13997
ARKANSAS,1942,Representatives,2,Wilbur D. Mills,Democrat,11283
ARKANSAS,1942,Representatives,3,J. William Fulbright,Democrat,16111
ARKANSAS,1942,Representatives,4,Fadjo Cravens,Democrat,14739
ARKANSAS,1942,Representatives,5,Brooks Hays,Democrat,16850
ARKANSAS,1942,Representatives,6,W. F. Norrell,Democrat,13263
ARKANSAS,1942,Representatives,7,Oren Harris,Democrat,12108
ARKANSAS,1942,Senate,,John L. McClellan,Democrat,99124
Alabama,1942,House,,Unknown,Democrat,68524
Alabama,1942,House,,Unknown,Republican,42878
Alabama,1942,House,,Unknown,Democrat,96212
Arizona,1942,House,,Unknown,Democrat,46344
Arizona,1942,House,,Unknown,Republican,36256
Arizona,1942,House,,Unknown,Democrat,87442
Arkansas,1942,House,,Unknown,Democrat,166592
Arkansas,1942,House,,Unknown,Republican,38925
Arkansas,1942,House,,Unknown,Democrat,81122
CALIFORNIA,1942,Representatives,1,Clarence F. Lea,Democrat Republican,78281
CALIFORNIA,1942,Representatives,1,Albert Jason Lima,Communist,5703
CALIFORNIA,1942,Representatives,2,Harry L. Englebright,Republican Democrat Townsend,56994
CALIFORNIA,1942,Representatives,3,J. Leroy Johnson,Republican,63982
CALIFORNIA,1942,Representatives,3,Joseph B. O'Neil,Democrat,53521
CALIFORNIA,1942,Representatives,4,Thomas Rolph,Republican Democrat,62735
CALIFORNIA,1942,Representatives,4,Archie Brown,Write-in,1116
CALIFORNIA,1942,Representatives,5,Richard J. Welch,Republican Democrat,85747
CALIFORNIA,1942,Representatives,5,Walter Raymond Lambert,Communist,6743
CALIFORNIA,1942,Representatives,6,Albert E. Carter,Republican Democrat,108585
CALIFORNIA,1942,Representatives,6,Clarence Paton,Communist,8532
CALIFORNIA,1942,Representatives,6,William H. Hollander,Write-in,185
CALIFORNIA,1942,Representatives,7,John H. Tolan,Democrat Republican,77262
COLORADO,1942,House,1,Lawrence Lewis,Democrat,58143
COLORADO,1942,House,1,Olaf H. Jacobson,Republican,50083
COLORADO,1942,House,1,Ward Rodgers,Socialist,681
COLORADO,1942,House,2,William S. Hill,Republican,64984
COLORADO,1942,House,2,Julian E. Hall,Democrat,30485
COLORADO,1942,House,2,William E. Randall,Socialist,589
COLORADO,1942,House,3,J. Edgar Chenoweth,Republican,55838
COLORADO,1942,House,3,W. H. Eaton,Democrat,33154
