STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1958,Senate,,Lister Hill,Democrat,201937
ALABAMA,1958,Senate,,James B. Martin,Republican,195134
ALABAMA,1958,House,,George Grant,Democrat,288074
ALABAMA,1958,House,,George W. Andrews,Democrat,293182
ALABAMA,1958,House,,Kenneth A. Roberts,Democrat,269410
ALABAMA,1958,House,,Albert Rains,Democrat,271075
ALABAMA,1958,House,,Armistead I. Selden Jr.,Democrat,295882
ALABAMA,1958,House,,Carl Elliott,Democrat,257299
ALABAMA,1958,House,,Robert E. Jones Jr.,Democrat,258674
ALABAMA,1958,House,,George Huddleston Jr.,Democrat,304219
ALABAMA,1958,House,,Tom Abernethy,Republican,158503
ALABAMA,1958,House,,John H. Buchanan Jr.,Republican,141202
ALABAMA,1958,House,,Evan Foreman Jr.,Republican,136339
ALABAMA,1958,House,,J. Chester Robinson,Republican,32446
ALASKA,1958,Senate,,Ernest Gruening,Democrat,33827
ALASKA,1958,Senate,,Ted Stevens,Republican,24354
ALASKA,1958,House,,Ralph J. Rivers,Democrat,33953
ALASKA,1958,House,,Lowell Thomas Jr.,Republican,26638
ARIZONA,1962,House,1,Howard W. Peterson,Democrat,79763
ARIZONA,1962,House,1,John J. Rhodes,Republican,113240
ARIZONA,1962,House,2,Morris K. Udall,Democrat,64510
ARIZONA,1962,House,2,Richard K. Burke,Republican,46219
ARIZONA,1962,House,3,George F. Senner Jr.,Democrat,25359
ARIZONA,1962,House,3,John P. Clark,Republican,19933
ARIZONA,1962,Senate,,Carl Hayden,Democrat,199217
ARIZONA,1962,Senate,,Evan Mecham,Republican,163388
ARKANSAS,1962,House,1,E. C. Gathings,Democrat,0
ARKANSAS,1962,House,2,Wilbur D. Mills,Democrat,0
ARKANSAS,1962,House,3,J. W. Trimble,Democrat,58786
ARKANSAS,1962,House,3,Cy Carney Jr.,Republican,25987
ARKANSAS,1962,House,4,Oren Harris,Democrat,74972
ARKANSAS,1962,House,4,Warren Lieblong,Republican,21818
ARKANSAS,1962,House,4,Frank Jarratt,Write-in,29
ARKANSAS,1962,Senate,,J. W. Fulbright,Democrat,214867
ARKANSAS,1962,Senate,,Kenneth Jones,Republican,98013
Alabama,1962,Senate,,203627,Democratic,203627
Alabama,1962,Senate,,193134,Republican,193134
Alaska,1962,Senate,,30127,Democratic,30127
Alaska,1962,Senate,,28127,Republican,28127
Arizona,1962,Senate,,114427,Democratic,114427
Arizona,1962,Senate,,142882,Republican,142882
CALIFORNIA,1962,House,1,Clem Miller,Democrat,100962
CALIFORNIA,1962,House,1,Don H. Clausen,Republican,97949
CALIFORNIA,1962,House,1,Scattering,,31
CALIFORNIA,1962,House,10,James P. Thurber Jr.,Democrat,68885
CALIFORNIA,1962,House,10,Charles S. Gubser,Republican,106419
CALIFORNIA,1962,House,10,Scattering,,21
CALIFORNIA,1962,House,11,William I. Keller,Democrat,61623
CALIFORNIA,1962,House,11,J. Arthur Younger,Republican,101963
CALIFORNIA,1962,House,11,Scattering,,6
CALIFORNIA,1962,House,12,William K. Steward,Democrat,47576
CALIFORNIA,1962,House,12,Burt L. Talcott,Republican,75424
CALIFORNIA,1962,House,12,Scattering,,26
CALIFORNIA,1962,House,13,George J. Holgate,Democrat,45736
CALIFORNIA,1962,House,13,Charles M. Teague,Republican,84743
CALIFORNIA,1962,House,13,Scattering,,12
CALIFORNIA,1962,House,14,Charles R. Weidner,Democrat,58369
CALIFORNIA,1962,House,14,John F. Baldwin,Republican,99040
CALIFORNIA,1962,House,14,Scattering,,9
CALIFORNIA,1962,House,15,John J. McFall,Democrat,97322
CALIFORNIA,1962,House,15,Arthur L. Young,Republican,41726
CALIFORNIA,1962,House,15,Scattering,,5
CALIFORNIA,1962,House,16,B. F. Sisk,Democrat,108339
CALIFORNIA,1962,House,16,Arthur L. Selland,Republican,42401
CALIFORNIA,1962,House,16,Scattering,,11
CALIFORNIA,1962,House,2,Harold T. Johnson,Democrat,106239
CALIFORNIA,1962,House,2,Fredric H. Nagel Jr.,Republican,58150
CALIFORNIA,1962,House,2,Scattering,,8
CALIFORNIA,1962,House,3,John E. Moss,Democrat,138257
CALIFORNIA,1962,House,3,George W. G. Smith,Republican,46510
CALIFORNIA,1962,House,3,Scattering,,24
CALIFORNIA,1962,House,4,Robert L. Leggett,Democrat,55563
CALIFORNIA,1962,House,4,L. V. Honsinger,Republican,42762
CALIFORNIA,1962,House,4,Scattering,,20
CALIFORNIA,1962,House,5,John F. Shelley,Democrat,64493
CALIFORNIA,1962,House,5,Roland S. Charles,Republican,15670
CALIFORNIA,1962,House,5,Scattering,,16
CALIFORNIA,1962,House,6,John A. O'Connell,Democrat,74429
CALIFORNIA,1962,House,6,William S. Mailliard,Republican,105762
CALIFORNIA,1962,House,6,Scattering,,3
CALIFORNIA,1962,House,7,Jeffery Cohelan,Democrat,86215
CALIFORNIA,1962,House,7,Leonard L. Cantando,Republican,47400
CALIFORNIA,1962,House,7,Scattering,,5
CALIFORNIA,1962,House,8,George P. Miller,Democrat,97014
CALIFORNIA,1962,House,8,Harold Petersen,Republican,36810
CALIFORNIA,1962,House,8,Scattering,,3
CALIFORNIA,1962,House,9,W. Donlon Edwards,Democrat,79616
CALIFORNIA,1962,House,9,Joseph F. Donovan,Republican,41194
CALIFORNIA,1962,House,9,Scattering,,2
CALIFORNIA,1962,Senate,,Richard Richards,Democrat,2452830
CALIFORNIA,1962,Senate,,Thomas H. Kuchel,Republican,3180483
CALIFORNIA,1962,Senate,,Howard Jarvis,Write-in,9963
CALIFORNIA,1962,Senate,,Linus Pauling,Write-in,2694
CALIFORNIA,1962,Senate,,Edward Brothers,Write-in,284
CALIFORNIA,1962,Senate,,Scattering,,1689
COLORADO,1962,House,1,Byron G. Rogers,Democrat,94080
COLORADO,1962,House,1,William B. Chenoweth,Republican,74392
COLORADO,1962,House,2,Conrad L. McBride,Democrat,83235
COLORADO,1962,House,2,Donald G. Brotzman,Republican,134939
COLORADO,1962,House,3,Albert J. (Al) Tomsic,Democrat,62097
COLORADO,1962,House,3,J. Edgar Chenoweth,Republican,74848
COLORADO,1962,House,4,Wayne N. Aspinall,Democrat,42462
COLORADO,1962,House,4,Leo L. Sommerville,Republican,29943
COLORADO,1962,Senate,,John A. Carroll,Democrat,279586
COLORADO,1962,Senate,,Peter H. Dominick,Republican,328655
COLORADO,1962,Senate,,Charlotte Benson,Socialist Labor,3546
COLORADO,1962,Senate,,Thomas Leonard,Socialist Workers,440
COLORADO,1962,Senate,,Henry John Olshaw,Independent,1217
CONNECTICUT,1962,House,1,Emilio Q. Daddario,Democrat,162844
CONNECTICUT,1962,House,1,James F. Collins,Republican,118767
CONNECTICUT,1962,House,1,Donald B. LaCroix,Write-in,1674
CONNECTICUT,1962,House,1,Scattering,Independent,1
CONNECTICUT,1962,House,2,William L. St. Onge,Democrat,83652
CONNECTICUT,1962,House,2,Moses A. Savin,Republican,81010
CONNECTICUT,1962,House,2,Scattering,Independent,1
CONNECTICUT,1962,House,3,Robert N. Giaimo,Democrat,104728
CONNECTICUT,1962,House,3,Daniel Reinhardsen,Republican,82215
CONNECTICUT,1962,House,4,Francis X. Lennon Jr.,Democrat,122392
CONNECTICUT,1962,House,4,Abner Sibal,Republican,132595
CONNECTICUT,1962,House,4,Scattering,Independent,1
CONNECTICUT,1962,House,5,John S. Monagan,Democrat,83321
CONNECTICUT,1962,House,5,John Rand,Republican,59072
CONNECTICUT,1962,House,5,Scattering,Independent,1
CONNECTICUT,1962,Senate,,Abraham A. Ribicoff,Democrat,527522
CONNECTICUT,1962,Senate,,Horace Seely-Brown Jr.,Republican,501694
CONNECTICUT,1962,Senate,,Scattering,Independent,85
CONNECTICUT,1962,House,,Bernard F. Grabowski,Democrat,543424
CONNECTICUT,1962,House,,John Lupton,Republican,487575
