STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1978,House,1,L. W. Noonan,Democrat,40450
ALABAMA,1978,House,1,Jack Edwards,Republican,71711
ALABAMA,1978,House,2,Wendell Mitchell,Democrat,49341
ALABAMA,1978,House,2,"William L. ""Bill"" Dickinson",Republican,57924
ALABAMA,1978,House,3,Bill Nichols,Democrat,74895
ALABAMA,1978,House,3,,Write-in,2
ALABAMA,1978,House,4,Tom Bevill,Democrat,87380
ALABAMA,1978,House,4,,Write-in,1
ALABAMA,1978,House,5,Ronnie G. Flippo,Democrat,68985
ALABAMA,1978,House,5,Harvey Nicholas Crumhorn,Libertarian,2250
ALABAMA,1978,House,5,,Write-in,1
ALABAMA,1978,House,6,Don Hawkins,Democrat,40771
ALABAMA,1978,House,6,John H. Buchanan Jr.,Republican,65700
ALABAMA,1978,House,7,Richard C. Shelby,Democrat,77742
ALABAMA,1978,House,7,Jim Scruggs,Republican,1841
ALABAMA,1978,House,7,Fulton Gray,Conservative,3285
ALABAMA,1978,Senate,,Donald Stewart,Democrat,401852
ALABAMA,1978,Senate,,James D. Martin,Republican,316170
ALABAMA,1978,Senate,,Michael R. A. Baxley,Libertarian,6006
ALABAMA,1978,Senate,,A. J. Killingsworth,Prohibition,5814
ALABAMA,1978,Senate,,Howell Heflin,Democrat,547054
ALABAMA,1978,Senate,,Jerome B. Couch,Prohibition,34951
ALASKA,1982,Senate,,Donald Hobbs,Democrat,29574
ALASKA,1982,Senate,,Ted Stevens,Republican,92783
ALASKA,1982,Senate,,Write-in,Write-in,384
ALASKA,1982,House,,Patrick Rodey,Democrat,55176
ALASKA,1982,House,,Don Young,Republican,68811
ALASKA,1982,House,,Write-in,Write-in,200
ARIZONA,1982,House,1,Ken Graves,Democrat,33178
ARIZONA,1982,House,1,John J. Rhodes,Republican,81108
ARIZONA,1982,House,2,Morris K. Udall,Democrat,67878
ARIZONA,1982,House,2,Tom Richey,Republican,58697
ARIZONA,1982,House,2,Joe Bach,Libertarian,1402
ARIZONA,1982,House,2,Betsy McDonald,Socialist Workers,1220
ARIZONA,1982,House,3,Bob Stump,Democrat,111850
ARIZONA,1982,House,3,Kathleen Cooke,Libertarian,19813
ARIZONA,1982,House,4,Michael McCormick,Democrat,48661
ARIZONA,1982,House,4,Eldon Rudd,Republican,90768
ARIZONA,1982,House,4,Lawrence W. Jerome,Libertarian,4407
ARKANSAS,1982,HOUSE,1,,Democrat,
ARKANSAS,1982,HOUSE,2,Bill Alexander,Democrat,62716
ARKANSAS,1982,House,2,Benton Douglas Brandon Jr.,Democrat,62441
ARKANSAS,1982,House,2,Edwin R. Bethune Jr.,Republican,65285
ARKANSAS,1982,HOUSE,3,John Paul Hammerschmidt,Republican,130695
ARKANSAS,1982,House,3,William Curtis Mears,Democrat,35748
ARKANSAS,1982,House,3,John Paul Hammerschmidt,Republican,139086
ARKANSAS,1982,HOUSE,4,,Democrat,
ARKANSAS,1982,SENATE,,David Pryor,Democrat,395505
ARKANSAS,1982,SENATE,,Jim Caldwell,Republican,84308
ARKANSAS,1982,SENATE,,James Taylor,Independent,37211
ARKANSAS,1982,SENATE,,Write-in,Write-in,113
ARKANSAS,1982,Senate,,David Pryor,Democrat,395506
ARKANSAS,1982,Senate,,Tom Kelly,Republican,84208
ARKANSAS,1982,Senate,,John Graham Black,Independent,37211
ARKANSAS,1982,Senate,,Write-in,Write-in,113
Alabama,1978,Representative,,,,95546
Alabama,1978,Representative,,,,93156
Alabama,1978,Senate,,Howell Heflin,Democratic,247954
Alabama,1978,Senate,,Jim Martin,Republican,247158
Alaska,1978,Representative,,,,74830
Alaska,1978,Senate,,Ted Stevens,Republican,84783
Alaska,1978,Senate,,Donald Hobbs,Democratic,30333
Albert Lemishow,Republican,15165,,,,
Alfred A. DelliBovi,Republican,32996,,,,
Alfred A. DelliBovi,Conservative,10012,,,,
Anthony C. Beilenson,Democrat,117498,,,,
Arizona,1978,Representative,,,,86515
Arizona,1978,Senate,,Dennis DeConcini,Democratic,247443
Arizona,1978,Senate,,Peter Dunn,Republican,201611
Arkansas,1978,Representative,,,,82921
Arkansas,1978,Senate,,David Pryor,Democratic,486832
Arkansas,1978,Senate,,Tom Kelly,Republican,134947
Arthur Bramwell,Republican,7516,,,,
Augustus F. Hawkins,Democrat,65214,,,,
Barry M. Goldwater Jr.,Republican,129714,,,,
Benjamin S. Rosenthal,Democrat,68971,,,,
Benjamin S. Rosenthal,Liberal,3154,,,,
Bernard Wahl,American Independent,6544,,,,
Bill Hill,Peace and Freedom,4750,,,,
Bob Sogge,Democrat,58900,,,,
Bruce N. Corman,Democrat,73860,,,,
CALIFORNIA,1982,HOUSE,1,Harold T. Johnson,Democrat,125122
CALIFORNIA,1982,HOUSE,1,James E. Taylor,Republican,85690
CALIFORNIA,1982,HOUSE,10,Don Edwards,Democrat,84488
CALIFORNIA,1982,HOUSE,10,Rudy Hansen,Republican,41374
CALIFORNIA,1982,HOUSE,11,Leo J. Ryan,Democrat,92882
CALIFORNIA,1982,HOUSE,11,Dave Welch,Republican,54621
CALIFORNIA,1982,HOUSE,11,Nicholas Waeil Khotozeff,American Independent,5961
CALIFORNIA,1982,HOUSE,12,Kirsten Olsen,Democrat,34472
CALIFORNIA,1982,HOUSE,12,Paul N. McCloskey Jr.,Republican,110982
CALIFORNIA,1982,HOUSE,12,Harold R. Roybal,American Independent,5600
CALIFORNIA,1982,HOUSE,12,Adele Fumano,Peace and Freedom,5022
CALIFORNIA,1982,HOUSE,13,Norman Y. Mineta,Democrat,100863
CALIFORNIA,1982,HOUSE,13,Dan O'Keefe,Republican,69346
CALIFORNIA,1982,HOUSE,13,Robert Goldsborough III,Peace and Freedom,5246
CALIFORNIA,1982,HOUSE,14,John J. McFall,Democrat,76692
CALIFORNIA,1982,HOUSE,14,Norman D. Shumway,Republican,95962
CALIFORNIA,1982,HOUSE,14,George Darold Waldron,American Independent,7163
CALIFORNIA,1982,HOUSE,15,Tony Coelho,Democrat,75212
CALIFORNIA,1982,HOUSE,15,Chris Patterakis,Republican,49914
CALIFORNIA,1982,HOUSE,2,James Park,Democrat,99712
CALIFORNIA,1982,HOUSE,2,Don H. Clausen,Republican,114451
CALIFORNIA,1982,HOUSE,2,Irv Sutley,Peace and Freedom,6097
CALIFORNIA,1982,HOUSE,3,Robert T. Matsui,Democrat,105537
CALIFORNIA,1982,HOUSE,3,Sandy Smoley,Republican,91966
CALIFORNIA,1982,HOUSE,4,Vic Fazio,Democrat,87764
CALIFORNIA,1982,HOUSE,4,Rex Hime,Republican,70733
CALIFORNIA,1954,HOUSE,41,King Golden Jr.,Democrat,77540
CALIFORNIA,1954,HOUSE,41,Bob Wilson,Republican,107685
CALIFORNIA,1954,HOUSE,42,Lionel Van Deerlin,Democrat,85126
CALIFORNIA,1954,HOUSE,42,Lawrence C. Matters,Republican,30319
CALIFORNIA,1954,HOUSE,43,Ruben B. Brooks,Democrat,76308
CALIFORNIA,1954,HOUSE,43,Clair W. Burgener,Republican,167150
CALIFORNIA,1982,HOUSE,5,John L. Burton,Democrat,108046
CALIFORNIA,1982,HOUSE,5,Dolores Skore,Republican,52603
CALIFORNIA,1982,HOUSE,6,Phillip Burton,Democrat,81801
CALIFORNIA,1982,HOUSE,6,Tom Spinosa,Republican,33515
CALIFORNIA,1982,HOUSE,6,Raymond O. Heaps,American Independent,4432
CALIFORNIA,1982,HOUSE,7,George Miller,Democrat,109676
CALIFORNIA,1982,HOUSE,7,Paula Gordon,Republican,58332
CALIFORNIA,1982,HOUSE,7,Melvin E. Stanley,American Independent,4857
CALIFORNIA,1982,HOUSE,8,Ronald V. Dellums,Democrat,94824
CALIFORNIA,1982,HOUSE,8,Charles V. Hughes,Republican,70481
CALIFORNIA,1982,HOUSE,9,Fortney H. Stark Jr.,Democrat,88579
CALIFORNIA,1982,HOUSE,9,Robert S. Allen,Republican,41138
CALIFORNIA,1982,HOUSE,9,Lawrence J. Phillips,Peace and Freedom,5562
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,,,,
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,,,,
COLORADO,1954,HOUSE,1,Pat Schroeder,Democrat,82742
COLORADO,1954,HOUSE,1,Gene Hutcheson,Republican,49845
COLORADO,1954,HOUSE,1,Susan Lorraine Adley,Socialist Workers,2043
