county,office,district,party,candidate,votes,state
Autauga,Governor,,,Over Votes,6,AL
Autauga,Governor,,,Under Votes,99,AL
Autauga,Governor,,DEM,Parker Griffith,3646,AL
Autauga,Governor,,NON,Write-ins,27,AL
Autauga,Governor,,REP,Robert Bentley,9449,AL
Baldwin,Governor,,,Over Votes,10,AL
Baldwin,Governor,,,Under Votes,292,AL
Baldwin,Governor,,DEM,Parker Griffith,8452,AL
Baldwin,Governor,,NON,Write-ins,64,AL
Baldwin,Governor,,REP,Robert Bentley,37783,AL
Barbour,Governor,,,Over Votes,3,AL
Barbour,Governor,,,Under Votes,134,AL
Barbour,Governor,,DEM,Parker Griffith,3657,AL
Barbour,Governor,,NON,Write-ins,3,AL
Barbour,Governor,,REP,Robert Bentley,3114,AL
Bibb,Governor,,,Write-ins,7,AL
Bibb,Governor,,D,Griffith,2736,AL
Bibb,Governor,,R,Bentley,7050,AL
Blount,Governor,,,Write-ins,54,AL
Blount,Governor,,D,Griffith,4358,AL
Blount,Governor,,R,Bentley,24162,AL
Bullock,Governor,,,Over Votes,0,AL
Bullock,Governor,,,Under Votes,31,AL
Bullock,Governor,,DEM,Parker Griffith,2444,AL
Bullock,Governor,,NON,Write-ins,2,AL
Bullock,Governor,,REP,Robert Bentley,747,AL
Butler,Governor,,,Write-ins,21,AL
Butler,Governor,,D,Griffith,8250,AL
Butler,Governor,,R,Bentley,9465,AL
Calhoun,Governor,,,Write-ins,96,AL
Calhoun,Governor,,D,Griffith,27285,AL
Calhoun,Governor,,R,Bentley,53106,AL
Chambers,Governor,,,Over Votes,2,AL
Chambers,Governor,,,Under Votes,114,AL
Chambers,Governor,,DEM,Parker Griffith,3640,AL
Chambers,Governor,,NON,Write-ins,6,AL
Chambers,Governor,,REP,Robert Bentley,4605,AL
Cherokee,Governor,,,Over Votes,1,AL
Cherokee,Governor,,,Under Votes,137,AL
Cherokee,Governor,,DEM,Parker Griffith,1869,AL
Cherokee,Governor,,NON,Write-ins,4,AL
Cherokee,Governor,,REP,Robert Bentley,5010,AL
Chilton,Governor,,,Write-ins,32,AL
Chilton,Governor,,D,Griffith,4848,AL
Chilton,Governor,,R,Bentley,18072,AL
Choctaw,Governor,,,Over Votes,0,AL
Choctaw,Governor,,,Under Votes,212,AL
Choctaw,Governor,,DEM,Parker Griffith,1949,AL
Choctaw,Governor,,NON,Write-ins,2,AL
Choctaw,Governor,,REP,Robert Bentley,2381,AL
Clarke,Governor,,,Over Votes,3,AL
Clarke,Governor,,,Under Votes,122,AL
Clarke,Governor,,DEM,Parker Griffith,3530,AL
Clarke,Governor,,NON,Write-ins,0,AL
Clarke,Governor,,REP,Robert Bentley,5000,AL
Clay,Governor,,,Write-ins,9,AL
Clay,Governor,,D,Griffith,3669,AL
Clay,Governor,,R,Bentley,9642,AL
Cleburne,Governor,,,Over Votes,4,AL
Cleburne,Governor,,,Under Votes,64,AL
Cleburne,Governor,,DEM,Parker Griffith,717,AL
Cleburne,Governor,,NON,Write-ins,4,AL
Cleburne,Governor,,REP,Robert Bentley,3129,AL
Coffee,Governor,,,Over Votes,1,AL
Coffee,Governor,,,Under Votes,93,AL
Coffee,Governor,,DEM,Parker Griffith,2405,AL
Coffee,Governor,,NON,Write-ins,10,AL
Coffee,Governor,,REP,Robert Bentley,8555,AL
Colbert,Governor,,,Over Votes,14,AL
Colbert,Governor,,,Under Votes,297,AL
Colbert,Governor,,DEM,Parker Griffith,6119,AL
Colbert,Governor,,NON,Write-ins,41,AL
Colbert,Governor,,REP,Robert Bentley,9551,AL
Conecuh,Governor,,,Over Votes,1,AL
Conecuh,Governor,,,Under Votes,175,AL
