county,office,district,party,candidate,votes,state
Conecuh,Governor,,DEM,Parker Griffith,2344,AL
Conecuh,Governor,,NON,Write-ins,2,AL
Conecuh,Governor,,REP,Robert Bentley,2373,AL
Coosa,Governor,,D,Griffith,4737,AL
Coosa,Governor,,R,Bentley,6780,AL
Covington,Governor,,,Over Votes,1,AL
Covington,Governor,,,Under Votes,72,AL
Covington,Governor,,DEM,Parker Griffith,1777,AL
Covington,Governor,,NON,Write-ins,5,AL
Covington,Governor,,REP,Robert Bentley,6155,AL
Crenshaw,Governor,,,Over Votes,2,AL
Crenshaw,Governor,,,Under Votes,80,AL
Crenshaw,Governor,,DEM,Parker Griffith,1767,AL
Crenshaw,Governor,,NON,Write-ins,6,AL
Crenshaw,Governor,,REP,Robert Bentley,2956,AL
Cullman,Governor,,,Over Votes,6,AL
Cullman,Governor,,,Under Votes,171,AL
Cullman,Governor,,DEM,Parker Griffith,3698,AL
Cullman,Governor,,NON,Write-ins,33,AL
Cullman,Governor,,REP,Robert Bentley,16606,AL
Dale,Governor,,,Over Votes,7,AL
Dale,Governor,,,Under Votes,105,AL
Dale,Governor,,DEM,Parker Griffith,2794,AL
Dale,Governor,,NON,Write-ins,5,AL
Dale,Governor,,REP,Robert Bentley,8170,AL
Dallas,Governor,,D,Griffith,16912,AL
Dallas,Governor,,R,Bentley,8232,AL
DeKalb,Governor,,,Write-ins,56,AL
DeKalb,Governor,,D,Griffith,7364,AL
DeKalb,Governor,,R,Bentley,25186,AL
Elmore,Governor,,,Write-ins,78,AL
Elmore,Governor,,D,Griffith,11122,AL
Elmore,Governor,,R,Bentley,30430,AL
Escambia,Governor,,,Write-ins,18,AL
Escambia,Governor,,D,Griffith,6052,AL
Escambia,Governor,,R,Bentley,11933,AL
Etowah,Governor,,,Over Votes,6,AL
Etowah,Governor,,,Under Votes,189,AL
Etowah,Governor,,DEM,Parker Griffith,8909,AL
Etowah,Governor,,NON,Write-ins,23,AL
Etowah,Governor,,REP,Robert Bentley,17539,AL
Fayette,Governor,,,Over Votes,2,AL
Fayette,Governor,,,Under Votes,150,AL
Fayette,Governor,,DEM,Parker Griffith,1966,AL
Fayette,Governor,,NON,Write-ins,9,AL
Fayette,Governor,,REP,Robert Bentley,4849,AL
Franklin,Governor,,,Over Votes,2,AL
Franklin,Governor,,,Under Votes,204,AL
Franklin,Governor,,DEM,Parker Griffith,2617,AL
Franklin,Governor,,NON,Write-ins,12,AL
Franklin,Governor,,REP,Robert Bentley,4950,AL
Geneva,Governor,,,Write-ins,10,AL
Geneva,Governor,,D,Griffith,2438,AL
Geneva,Governor,,R,Bentley,12238,AL
Greene,Governor,,,Write-ins,0,AL
Greene,Governor,,D,Griffith,5714,AL
Greene,Governor,,R,Bentley,1076,AL
Hale,Governor,,,Over Votes,2,AL
Hale,Governor,,,Under Votes,47,AL
Hale,Governor,,DEM,Parker Griffith,3168,AL
Hale,Governor,,NON,Write-ins,2,AL
Hale,Governor,,REP,Robert Bentley,2002,AL
Henry,Governor,,,Over Votes,5,AL
Henry,Governor,,,Under Votes,71,AL
Henry,Governor,,DEM,Parker Griffith,1780,AL
Henry,Governor,,NON,Write-ins,3,AL
Henry,Governor,,REP,Robert Bentley,3333,AL
Houston,Governor,,,Over Votes,9,AL
Houston,Governor,,,Under Votes,236,AL
Houston,Governor,,DEM,Parker Griffith,6257,AL
Houston,Governor,,NON,Write-ins,31,AL
Houston,Governor,,REP,Robert Bentley,17302,AL
Jackson,Governor,,,Over Votes,2,AL
Jackson,Governor,,,Under Votes,344,AL
Jackson,Governor,,DEM,Parker Griffith,3234,AL
Jackson,Governor,,NON,Write-ins,34,AL
Jackson,Governor,,REP,Robert Bentley,8258,AL
Jefferson,Governor,,,Over Votes,44,AL
Jefferson,Governor,,,Under Votes,2156,AL
Jefferson,Governor,,DEM,Parker Griffith,165730,AL
Jefferson,Governor,,NON,Write-ins,518,AL
Jefferson,Governor,,REP,Robert Bentley,166294,AL
Lamar,Governor,,,Write-ins,4,AL
Lamar,Governor,,D,Griffith,2498,AL
Lamar,Governor,,R,Bentley,6314,AL
Lauderdale,Governor,,,Over Votes,11,AL
Lauderdale,Governor,,,Under Votes,473,AL
Lauderdale,Governor,,DEM,Parker Griffith,7431,AL
Lauderdale,Governor,,NON,Write-ins,89,AL
Lauderdale,Governor,,REP,Robert Bentley,15782,AL
Lawrence,Governor,,,Over Votes,7,AL
Lawrence,Governor,,,Under Votes,169,AL
Lawrence,Governor,,DEM,Parker Griffith,3300,AL
Lawrence,Governor,,NON,Write-ins,25,AL
Lawrence,Governor,,REP,Robert Bentley,5867,AL
Lee,Governor,,,Over Votes,6,AL
Lee,Governor,,,Under Votes,186,AL
Lee,Governor,,DEM,Parker Griffith,10139,AL
Lee,Governor,,NON,Write-ins,49,AL
Lee,Governor,,REP,Robert Bentley,16315,AL
Limestone,Governor,,,Over Votes,15,AL
Limestone,Governor,,,Under Votes,346,AL
Limestone,Governor,,DEM,Parker Griffith,5379,AL
Limestone,Governor,,NON,Write-ins,67,AL
Limestone,Governor,,REP,Robert Bentley,17581,AL
Lowndes,Governor,,DEM,Parker Griffith,3127,AL
Lowndes,Governor,,REP,Robert Bentley,1174,AL
Macon,Governor,,,Write-ins,6,AL
Macon,Governor,,D,Griffith,9020,AL
Macon,Governor,,R,Bentley,1658,AL
Madison,Governor,,DEM,Parker Griffith,26097,AL
Madison,Governor,,REP,Robert Bentley,60277,AL
Marengo,Governor,,,Over Votes,0,AL
Marengo,Governor,,,Under Votes,52,AL
Marengo,Governor,,DEM,Parker Griffith,3762,AL
Marengo,Governor,,NON,Write-ins,4,AL
Marengo,Governor,,REP,Robert Bentley,3152,AL
Marion,Governor,,,Over Votes,1,AL
Marion,Governor,,,Under Votes,132,AL
Marion,Governor,,DEM,Parker Griffith,2099,AL
Marion,Governor,,NON,Write-ins,12,AL
Marion,Governor,,REP,Robert Bentley,6061,AL
Marshall,Governor,,,Over Votes,8,AL
Marshall,Governor,,,Under Votes,355,AL
Marshall,Governor,,DEM,Parker Griffith,3345,AL
Marshall,Governor,,NON,Write-ins,37,AL
Marshall,Governor,,REP,Robert Bentley,16523,AL
Mobile,Governor,,,Over Votes,39,AL
Mobile,Governor,,,Under Votes,451,AL
Mobile,Governor,,DEM,Parker Griffith,34835,AL
Mobile,Governor,,NON,Write-ins,82,AL
Mobile,Governor,,REP,Robert Bentley,48651,AL
Monroe,Governor,,,Over Votes,1,AL
Monroe,Governor,,,Under Votes,53,AL
Monroe,Governor,,DEM,Parker Griffith,2580,AL
Monroe,Governor,,NON,Write-ins,3,AL
Monroe,Governor,,REP,Robert Bentley,3500,AL
Montgomery,Governor,,,Over Votes,12,AL
Montgomery,Governor,,,Under Votes,486,AL
Montgomery,Governor,,DEM,Parker Griffith,33366,AL
Montgomery,Governor,,NON,Write-ins,125,AL
Montgomery,Governor,,REP,Robert Bentley,23811,AL
Morgan,Governor,,,Over Votes,13,AL
Morgan,Governor,,,Under Votes,274,AL
Morgan,Governor,,DEM,Parker Griffith,6708,AL
Morgan,Governor,,NON,Write-ins,76,AL
Morgan,Governor,,REP,Robert Bentley,22428,AL
Perry,Governor,,,Over Votes,1,AL
Perry,Governor,,,Under Votes,21,AL
Perry,Governor,,DEM,Parker Griffith,2633,AL
Perry,Governor,,NON,Write-ins,1,AL
Perry,Governor,,REP,Robert Bentley,962,AL
Pickens,Governor,,,Write-ins,4,AL
Pickens,Governor,,D,Griffith,5050,AL
Pickens,Governor,,R,Bentley,7056,AL
Pike,Governor,,,Over Votes,7,AL
Pike,Governor,,,Under Votes,109,AL
Pike,Governor,,DEM,Parker Griffith,3821,AL
Pike,Governor,,NON,Write-ins,13,AL
Pike,Governor,,REP,Robert Bentley,5330,AL
Randolph,Governor,,,Over Votes,2,AL
Randolph,Governor,,,Under Votes,228,AL
Randolph,Governor,,DEM,Parker Griffith,1917,AL
Randolph,Governor,,NON,Write-ins,11,AL
Randolph,Governor,,REP,Robert Bentley,4076,AL
Russell,Governor,,,Over Votes,4,AL
Russell,Governor,,,Under Votes,103,AL
Russell,Governor,,DEM,Parker Griffith,4757,AL
Russell,Governor,,NON,Write-ins,4,AL
Russell,Governor,,REP,Robert Bentley,4440,AL
Shelby,Governor,,,Over Votes,9,AL
Shelby,Governor,,,Under Votes,279,AL
Shelby,Governor,,DEM,Parker Griffith,10324,AL
Shelby,Governor,,NON,Write-ins,95,AL
Shelby,Governor,,REP,Robert Bentley,40297,AL
St. Clair,Governor,,,Over Votes,2,AL
St. Clair,Governor,,,Under Votes,93,AL
St. Clair,Governor,,DEM,Parker Griffith,3522,AL
St. Clair,Governor,,NON,Write-ins,26,AL
St. Clair,Governor,,REP,Robert Bentley,15921,AL
Sumter,Governor,,,Over Votes,4,AL
Sumter,Governor,,,Under Votes,93,AL
Sumter,Governor,,DEM,Parker Griffith,3101,AL
Sumter,Governor,,NON,Write-ins,4,AL
Sumter,Governor,,REP,Robert Bentley,1051,AL
Talladega,Governor,,,Over Votes,9,AL
Talladega,Governor,,,Under Votes,109,AL
Talladega,Governor,,DEM,Parker Griffith,7877,AL
Talladega,Governor,,NON,Write-ins,19,AL
Talladega,Governor,,REP,Robert Bentley,11335,AL
Tallapoosa,Governor,,,Over Votes,4,AL
Tallapoosa,Governor,,,Under Votes,109,AL
Tallapoosa,Governor,,DEM,Parker Griffith,4041,AL
Tallapoosa,Governor,,NON,Write-ins,10,AL
Tallapoosa,Governor,,REP,Robert Bentley,8002,AL
Tuscaloosa,Governor,,,Over Votes,12,AL
Tuscaloosa,Governor,,,Under Votes,217,AL
Tuscaloosa,Governor,,DEM,Parker Griffith,17196,AL
Tuscaloosa,Governor,,NON,Write-ins,88,AL
Tuscaloosa,Governor,,REP,Robert Bentley,25369,AL
Walker,Governor,,,Write-ins,60,AL
Walker,Governor,,D,Griffith,9500,AL
Walker,Governor,,R,Bentley,24634,AL
Washington,Governor,,,Over Votes,2,AL
Washington,Governor,,,Under Votes,69,AL
Washington,Governor,,DEM,Parker Griffith,1742,AL
Washington,Governor,,NON,Write-ins,1,AL
Washington,Governor,,REP,Robert Bentley,3263,AL
Wilcox,Governor,,,Write-ins,8,AL
Wilcox,Governor,,D,Griffith,5826,AL
Wilcox,Governor,,R,Bentley,2694,AL
Winston,Governor,,,Over Votes,2,AL
Winston,Governor,,,Under Votes,128,AL
Winston,Governor,,DEM,Parker Griffith,1391,AL
Winston,Governor,,NON,Write-ins,9,AL
Winston,Governor,,REP,Robert Bentley,5353,AL
ALLEN,Governor,,Democratic,"Davis, Paul",1981,KS
ALLEN,Governor,,Libertarian,"Umbehr, Keen A.",211,KS
ALLEN,Governor,,Republican,"Brownback, Sam",2268,KS
ANDERSON,Governor,,Democratic,"Davis, Paul",940,KS
ANDERSON,Governor,,Libertarian,"Umbehr, Keen A.",147,KS
ANDERSON,Governor,,Republican,"Brownback, Sam",1484,KS
ATCHISON,Governor,,Democratic,"Davis, Paul",2129,KS
ATCHISON,Governor,,Libertarian,"Umbehr, Keen A.",178,KS
ATCHISON,Governor,,Republican,"Brownback, Sam",2461,KS
BARBER,Governor,,Democratic,"Davis, Paul",520,KS
BARBER,Governor,,Libertarian,"Umbehr, Keen A.",72,KS
BARBER,Governor,,Republican,"Brownback, Sam",1157,KS
BARTON,Governor,,Democratic,"Davis, Paul",2769,KS
BARTON,Governor,,Libertarian,"Umbehr, Keen A.",334,KS
BARTON,Governor,,Republican,"Brownback, Sam",4973,KS
BOURBON,Governor,,Democratic,"Davis, Paul",1844,KS
BOURBON,Governor,,Libertarian,"Umbehr, Keen A.",196,KS
BOURBON,Governor,,Republican,"Brownback, Sam",3010,KS
BROWN,Governor,,Democratic,"Davis, Paul",1236,KS
BROWN,Governor,,Libertarian,"Umbehr, Keen A.",139,KS
BROWN,Governor,,Republican,"Brownback, Sam",1825,KS
BUTLER,Governor,,Democratic,"Davis, Paul",8006,KS
BUTLER,Governor,,Libertarian,"Umbehr, Keen A.",961,KS
BUTLER,Governor,,Republican,"Brownback, Sam",11803,KS
CHASE,Governor,,Democratic,"Davis, Paul",440,KS
CHASE,Governor,,Libertarian,"Umbehr, Keen A.",55,KS
CHASE,Governor,,Republican,"Brownback, Sam",586,KS
CHAUTAUQUA,Governor,,Democratic,"Davis, Paul",280,KS
CHAUTAUQUA,Governor,,Libertarian,"Umbehr, Keen A.",74,KS
CHAUTAUQUA,Governor,,Republican,"Brownback, Sam",758,KS
CHEROKEE,Governor,,Democratic,"Davis, Paul",2262,KS
CHEROKEE,Governor,,Libertarian,"Umbehr, Keen A.",225,KS
CHEROKEE,Governor,,Republican,"Brownback, Sam",3552,KS
CHEYENNE,Governor,,Democratic,"Davis, Paul",219,KS
CHEYENNE,Governor,,Libertarian,"Umbehr, Keen A.",40,KS
CHEYENNE,Governor,,Republican,"Brownback, Sam",804,KS
CLARK,Governor,,Democratic,"Davis, Paul",240,KS
CLARK,Governor,,Libertarian,"Umbehr, Keen A.",34,KS
CLARK,Governor,,Republican,"Brownback, Sam",556,KS
CLAY,Governor,,Democratic,"Davis, Paul",1125,KS
CLAY,Governor,,Libertarian,"Umbehr, Keen A.",146,KS
CLAY,Governor,,Republican,"Brownback, Sam",1872,KS
CLOUD,Governor,,Democratic,"Davis, Paul",1176,KS
CLOUD,Governor,,Libertarian,"Umbehr, Keen A.",138,KS
CLOUD,Governor,,Republican,"Brownback, Sam",1889,KS
COFFEY,Governor,,Democratic,"Davis, Paul",1167,KS
COFFEY,Governor,,Libertarian,"Umbehr, Keen A.",174,KS
COFFEY,Governor,,Republican,"Brownback, Sam",1818,KS
COMANCHE,Governor,,Democratic,"Davis, Paul",187,KS
COMANCHE,Governor,,Libertarian,"Umbehr, Keen A.",31,KS
COMANCHE,Governor,,Republican,"Brownback, Sam",462,KS
COWLEY,Governor,,Democratic,"Davis, Paul",4618,KS
COWLEY,Governor,,Libertarian,"Umbehr, Keen A.",466,KS
COWLEY,Governor,,Republican,"Brownback, Sam",4769,KS
CRAWFORD,Governor,,Democratic,"Davis, Paul",5732,KS
CRAWFORD,Governor,,Libertarian,"Umbehr, Keen A.",356,KS
CRAWFORD,Governor,,Republican,"Brownback, Sam",4652,KS
DECATUR,Governor,,Democratic,"Davis, Paul",292,KS
DECATUR,Governor,,Libertarian,"Umbehr, Keen A.",37,KS
DECATUR,Governor,,Republican,"Brownback, Sam",904,KS
DICKINSON,Governor,,Democratic,"Davis, Paul",2204,KS
DICKINSON,Governor,,Libertarian,"Umbehr, Keen A.",420,KS
DICKINSON,Governor,,Republican,"Brownback, Sam",3824,KS
DONIPHAN,Governor,,Democratic,"Davis, Paul",668,KS
DONIPHAN,Governor,,Libertarian,"Umbehr, Keen A.",107,KS
DONIPHAN,Governor,,Republican,"Brownback, Sam",1491,KS
DOUGLAS,Governor,,Democratic,"Davis, Paul",27424,KS
DOUGLAS,Governor,,Libertarian,"Umbehr, Keen A.",974,KS
DOUGLAS,Governor,,Republican,"Brownback, Sam",9545,KS
EDWARDS,Governor,,Democratic,"Davis, Paul",347,KS
EDWARDS,Governor,,Libertarian,"Umbehr, Keen A.",38,KS
EDWARDS,Governor,,Republican,"Brownback, Sam",766,KS
ELK,Governor,,Democratic,"Davis, Paul",401,KS
ELK,Governor,,Libertarian,"Umbehr, Keen A.",72,KS
ELK,Governor,,Republican,"Brownback, Sam",622,KS
ELLIS,Governor,,Democratic,"Davis, Paul",4085,KS
ELLIS,Governor,,Libertarian,"Umbehr, Keen A.",368,KS
ELLIS,Governor,,Republican,"Brownback, Sam",5072,KS
ELLSWORTH,Governor,,Democratic,"Davis, Paul",925,KS
ELLSWORTH,Governor,,Libertarian,"Umbehr, Keen A.",110,KS
ELLSWORTH,Governor,,Republican,"Brownback, Sam",1258,KS
FINNEY,Governor,,Democratic,"Davis, Paul",2406,KS
FINNEY,Governor,,Libertarian,"Umbehr, Keen A.",238,KS
FINNEY,Governor,,Republican,"Brownback, Sam",4144,KS
FORD,Governor,,Democratic,"Davis, Paul",2088,KS
FORD,Governor,,Libertarian,"Umbehr, Keen A.",274,KS
FORD,Governor,,Republican,"Brownback, Sam",3824,KS
FRANKLIN,Governor,,Democratic,"Davis, Paul",3285,KS
FRANKLIN,Governor,,Libertarian,"Umbehr, Keen A.",420,KS
FRANKLIN,Governor,,Republican,"Brownback, Sam",4166,KS
GEARY,Governor,,Democratic,"Davis, Paul",2200,KS
GEARY,Governor,,Libertarian,"Umbehr, Keen A.",254,KS
GEARY,Governor,,Republican,"Brownback, Sam",2574,KS
GOVE,Governor,,Democratic,"Davis, Paul",286,KS
GOVE,Governor,,Libertarian,"Umbehr, Keen A.",37,KS
GOVE,Governor,,Republican,"Brownback, Sam",810,KS
GRAHAM,Governor,,Democratic,"Davis, Paul",365,KS
GRAHAM,Governor,,Libertarian,"Umbehr, Keen A.",57,KS
GRAHAM,Governor,,Republican,"Brownback, Sam",743,KS
GRANT,Governor,,Democratic,"Davis, Paul",507,KS
GRANT,Governor,,Libertarian,"Umbehr, Keen A.",113,KS
GRANT,Governor,,Republican,"Brownback, Sam",1157,KS
GRAY,Governor,,Democratic,"Davis, Paul",452,KS
GRAY,Governor,,Libertarian,"Umbehr, Keen A.",74,KS
GRAY,Governor,,Republican,"Brownback, Sam",1113,KS
GREELEY,Governor,,Democratic,"Davis, Paul",154,KS
GREELEY,Governor,,Libertarian,"Umbehr, Keen A.",23,KS
GREELEY,Governor,,Republican,"Brownback, Sam",383,KS
GREENWOOD,Governor,,Democratic,"Davis, Paul",745,KS
GREENWOOD,Governor,,Libertarian,"Umbehr, Keen A.",127,KS
GREENWOOD,Governor,,Republican,"Brownback, Sam",1365,KS
HAMILTON,Governor,,Democratic,"Davis, Paul",226,KS
HAMILTON,Governor,,Libertarian,"Umbehr, Keen A.",23,KS
HAMILTON,Governor,,Republican,"Brownback, Sam",462,KS
HARPER,Governor,,Democratic,"Davis, Paul",671,KS
HARPER,Governor,,Libertarian,"Umbehr, Keen A.",98,KS
HARPER,Governor,,Republican,"Brownback, Sam",1234,KS
HARVEY,Governor,,Democratic,"Davis, Paul",5454,KS
HARVEY,Governor,,Libertarian,"Umbehr, Keen A.",378,KS
HARVEY,Governor,,Republican,"Brownback, Sam",5840,KS
HASKELL,Governor,,Democratic,"Davis, Paul",242,KS
HASKELL,Governor,,Libertarian,"Umbehr, Keen A.",36,KS
HASKELL,Governor,,Republican,"Brownback, Sam",774,KS
HODGEMAN,Governor,,Democratic,"Davis, Paul",195,KS
HODGEMAN,Governor,,Libertarian,"Umbehr, Keen A.",22,KS
HODGEMAN,Governor,,Republican,"Brownback, Sam",636,KS
JACKSON,Governor,,Democratic,"Davis, Paul",2296,KS
JACKSON,Governor,,Libertarian,"Umbehr, Keen A.",220,KS
JACKSON,Governor,,Republican,"Brownback, Sam",2315,KS
JEFFERSON,Governor,,Democratic,"Davis, Paul",3246,KS
JEFFERSON,Governor,,Libertarian,"Umbehr, Keen A.",248,KS
JEFFERSON,Governor,,Republican,"Brownback, Sam",3073,KS
JEWELL,Governor,,Democratic,"Davis, Paul",296,KS
JEWELL,Governor,,Libertarian,"Umbehr, Keen A.",77,KS
JEWELL,Governor,,Republican,"Brownback, Sam",747,KS
Johnson,Governor,,,Write-ins,612,KS
Johnson,Governor,,D,Paul Davis,93133,KS
Johnson,Governor,,L,Keen Umbehr,15030,KS
Johnson,Governor,,R,Sam Brownback,84157,KS
KEARNY,Governor,,Democratic,"Davis, Paul",262,KS
KEARNY,Governor,,Libertarian,"Umbehr, Keen A.",26,KS
KEARNY,Governor,,Republican,"Brownback, Sam",716,KS
KINGMAN,Governor,,Democratic,"Davis, Paul",1002,KS
KINGMAN,Governor,,Libertarian,"Umbehr, Keen A.",144,KS
KINGMAN,Governor,,Republican,"Brownback, Sam",1724,KS
KIOWA,Governor,,Democratic,"Davis, Paul",259,KS
KIOWA,Governor,,Libertarian,"Umbehr, Keen A.",35,KS
KIOWA,Governor,,Republican,"Brownback, Sam",608,KS
LABETTE,Governor,,Democratic,"Davis, Paul",2492,KS
LABETTE,Governor,,Libertarian,"Umbehr, Keen A.",230,KS
LABETTE,Governor,,Republican,"Brownback, Sam",3017,KS
LANE,Governor,,Democratic,"Davis, Paul",220,KS
LANE,Governor,,Libertarian,"Umbehr, Keen A.",33,KS
LANE,Governor,,Republican,"Brownback, Sam",509,KS
LEAVENWORTH,Governor,,Democratic,"Davis, Paul",8872,KS
LEAVENWORTH,Governor,,Libertarian,"Umbehr, Keen A.",882,KS
LEAVENWORTH,Governor,,Republican,"Brownback, Sam",10217,KS
LINCOLN,Governor,,Democratic,"Davis, Paul",400,KS
LINCOLN,Governor,,Libertarian,"Umbehr, Keen A.",42,KS
LINCOLN,Governor,,Republican,"Brownback, Sam",737,KS
LINN,Governor,,Democratic,"Davis, Paul",977,KS
LINN,Governor,,Libertarian,"Umbehr, Keen A.",131,KS
LINN,Governor,,Republican,"Brownback, Sam",1978,KS
LOGAN,Governor,,Democratic,"Davis, Paul",236,KS
LOGAN,Governor,,Libertarian,"Umbehr, Keen A.",51,KS
LOGAN,Governor,,Republican,"Brownback, Sam",766,KS
LYON,Governor,,Democratic,"Davis, Paul",5053,KS
LYON,Governor,,Libertarian,"Umbehr, Keen A.",418,KS
LYON,Governor,,Republican,"Brownback, Sam",3520,KS
MARION,Governor,,Democratic,"Davis, Paul",1634,KS
MARION,Governor,,Libertarian,"Umbehr, Keen A.",231,KS
MARION,Governor,,Republican,"Brownback, Sam",2553,KS
MARSHALL,Governor,,Democratic,"Davis, Paul",1563,KS
MARSHALL,Governor,,Libertarian,"Umbehr, Keen A.",168,KS
MARSHALL,Governor,,Republican,"Brownback, Sam",1990,KS
MCPHERSON,Governor,,Democratic,"Davis, Paul",4183,KS
MCPHERSON,Governor,,Libertarian,"Umbehr, Keen A.",414,KS
MCPHERSON,Governor,,Republican,"Brownback, Sam",5561,KS
MEADE,Governor,,Democratic,"Davis, Paul",381,KS
MEADE,Governor,,Libertarian,"Umbehr, Keen A.",55,KS
MEADE,Governor,,Republican,"Brownback, Sam",994,KS
MIAMI,Governor,,Democratic,"Davis, Paul",4021,KS
MIAMI,Governor,,Libertarian,"Umbehr, Keen A.",399,KS
MIAMI,Governor,,Republican,"Brownback, Sam",6107,KS
MITCHELL,Governor,,Democratic,"Davis, Paul",765,KS
MITCHELL,Governor,,Libertarian,"Umbehr, Keen A.",99,KS
MITCHELL,Governor,,Republican,"Brownback, Sam",1464,KS
MONTGOMERY,Governor,,Democratic,"Davis, Paul",2853,KS
MONTGOMERY,Governor,,Libertarian,"Umbehr, Keen A.",365,KS
MONTGOMERY,Governor,,Republican,"Brownback, Sam",5495,KS
MORRIS,Governor,,Democratic,"Davis, Paul",912,KS
MORRIS,Governor,,Libertarian,"Umbehr, Keen A.",200,KS
MORRIS,Governor,,Republican,"Brownback, Sam",1000,KS
MORTON,Governor,,Democratic,"Davis, Paul",268,KS
MORTON,Governor,,Libertarian,"Umbehr, Keen A.",41,KS
MORTON,Governor,,Republican,"Brownback, Sam",597,KS
NEMAHA,Governor,,Democratic,"Davis, Paul",1444,KS
NEMAHA,Governor,,Libertarian,"Umbehr, Keen A.",143,KS
NEMAHA,Governor,,Republican,"Brownback, Sam",2616,KS
NEOSHO,Governor,,Democratic,"Davis, Paul",2007,KS
NEOSHO,Governor,,Libertarian,"Umbehr, Keen A.",214,KS
NEOSHO,Governor,,Republican,"Brownback, Sam",2644,KS
NESS,Governor,,Democratic,"Davis, Paul",260,KS
NESS,Governor,,Libertarian,"Umbehr, Keen A.",40,KS
NESS,Governor,,Republican,"Brownback, Sam",880,KS
NORTON,Governor,,Democratic,"Davis, Paul",518,KS
NORTON,Governor,,Libertarian,"Umbehr, Keen A.",90,KS
NORTON,Governor,,Republican,"Brownback, Sam",1216,KS
OSAGE,Governor,,Democratic,"Davis, Paul",2573,KS
OSAGE,Governor,,Libertarian,"Umbehr, Keen A.",360,KS
OSAGE,Governor,,Republican,"Brownback, Sam",2871,KS
OSBORNE,Governor,,Democratic,"Davis, Paul",440,KS
OSBORNE,Governor,,Libertarian,"Umbehr, Keen A.",86,KS
