STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1972,HOUSE,1,O. W. (Bill) McCrory,Democratic,24357
ALABAMA,1972,HOUSE,1,Jack Edwards,Republican,104606
ALABAMA,1972,HOUSE,1,Thomas McAlory Jr.,National Democrat,7747
ALABAMA,1972,HOUSE,2,Ben C. Reeves,Democratic,60769
ALABAMA,1972,HOUSE,2,William L. (Bill) Dickinson,Republican,80362
ALABAMA,1972,HOUSE,2,Richard Boone,National Democrat,4991
ALABAMA,1972,HOUSE,2,Llewellyn B. Garth,Conservative,386
ALABAMA,1972,HOUSE,3,Bill Nichols,Democratic,100045
ALABAMA,1972,HOUSE,3,Robert M. (Bob) Kerr,Republican,27253
ALABAMA,1972,HOUSE,3,James R. Connell,Prohibition,1693
ALABAMA,1972,HOUSE,3,John Ford,National Democrat,3392
ALABAMA,1972,HOUSE,4,Tom Bevill,Democratic,108039
ALABAMA,1972,HOUSE,4,Ed Nelson,Republican,46551
ALABAMA,1972,HOUSE,4,Daisy Williams,Prohibition,711
ALABAMA,1972,HOUSE,5,Bob E. Jones,Democratic,101303
ALABAMA,1972,HOUSE,5,Dieter J. Schrader,Republican,33352
ALABAMA,1972,HOUSE,5,Shirley Irwin,National Democrat,1890
ALABAMA,1972,HOUSE,6,Ben Erdreich,Democratic,54497
ALABAMA,1972,HOUSE,6,John H. Buchanan,Republican,91499
ALABAMA,1972,HOUSE,6,Al Thomas,National Democrat,3887
ALABAMA,1972,HOUSE,6,Dan Scott,Conservative,1412
ALABAMA,1972,HOUSE,6,Edna L. Bowling,Prohibition,1838
ALABAMA,1972,HOUSE,7,Walter Flowers,Democratic,95060
ALABAMA,1972,HOUSE,7,Hal Radue,Conservative,1278
ALABAMA,1972,HOUSE,7,Lewis Black,National Democrat,15703
ALABAMA,1972,PRESIDENT,,,,219108
ALABAMA,1972,PRESIDENT,,,,728701
ALABAMA,1972,PRESIDENT,,,,8551
ALABAMA,1972,PRESIDENT,,,,11918
ALABAMA,1972,PRESIDENT,,,,37815
ALASKA,1968,House,0,Nick Begich,Democrat,53651
ALASKA,1968,House,0,Donald E. Young,Republican,41750
ALASKA,1968,Presidential,,,,32967
ALASKA,1968,Presidential,,,,55349
ALASKA,1968,Presidential,,,,6903
ALASKA,1968,Senate,,W. Eugene Gruss,Democrat,21791
ALASKA,1968,Senate,,Ted Stevens,Republican,74216
ARIZONA,1972,House,1,,Democrat,59900
ARIZONA,1972,House,1,,Republican,80453
ARIZONA,1968,House,1,Gerald A. Pollock,Democrat,59900
ARIZONA,1968,House,1,John J. Rhodes,Republican,80453
ARIZONA,1972,House,2,,Democrat,97616
ARIZONA,1972,House,2,,Republican,56188
ARIZONA,1968,House,2,Morris K. Udall,Democrat,97616
ARIZONA,1968,House,2,Gene Savoy,Republican,56188
ARIZONA,1972,House,3,,Democrat,53259
ARIZONA,1972,House,3,,Republican,80710
ARIZONA,1968,House,3,Tod Wyckoff,Democrat,53220
ARIZONA,1968,House,3,Sam Steiger,Republican,90710
ARIZONA,1972,House,4,,Democrat,73670
ARIZONA,1972,House,4,,Republican,92511
ARIZONA,1968,House,4,Jack E. Brown,Democrat,73309
ARIZONA,1968,House,4,John B. Conlan,Republican,82511
ARIZONA,1972,Presidential,,,Democrat,198540
ARIZONA,1972,Presidential,,,Republican,402812
ARIZONA,1972,Presidential,,,American Independent,21208
ARIZONA,1972,Presidential,,,Socialist Workers,30945
ARIZONA,1968,Presidential,,,,108540
ARIZONA,1968,Presidential,,,,402812
ARIZONA,1968,Presidential,,,,21208
ARIZONA,1968,Presidential,,,,30945
ARKANSAS,1972,House,3,Guy W. Hatfield,Democrat,42481
ARKANSAS,1972,House,3,John Paul Hammerschmidt,Republican,144571
ARKANSAS,1972,Presidential,,,Democrat,198899
ARKANSAS,1972,Presidential,,,Republican,445751
ARKANSAS,1972,Presidential,,,American Independent,3016
ARKANSAS,1972,Senate,,John L. McClellan,Democrat,386398
ARKANSAS,1972,Senate,,Wayne H. Babbitt,Republican,248238
Alabama,1972,Presidential,,,,728701
Alabama,1972,Presidential,,,Democratic,504491
Alabama,1972,Presidential,,,Republican,728701
Alaska,1972,Presidential,,,,55349
