STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1948,House,1,Frank W. Boykin,Democratic,19778
ALABAMA,1948,House,2,George M. Grant,Democratic,21271
ALABAMA,1948,House,3,George W. Andrews,Democratic,16279
ALABAMA,1948,House,4,Sam Hobbs,Democratic,17282
ALABAMA,1948,House,4,H. Hogan Stewart,Republican,3054
ALABAMA,1948,House,5,Albert Rains,Democratic,20549
ALABAMA,1948,House,6,Edward deGraffenried,Democratic,13968
ALABAMA,1948,House,6,William P. Ivey,Republican,2994
ALABAMA,1948,House,7,Carl Elliott,Democratic,21552
ALABAMA,1948,House,8,Robert E. Jones Jr.,Democratic,19060
ALABAMA,1948,House,8,Harry A. Smith,Republican,2519
ALABAMA,1948,House,9,Laurie C. Battle,Democratic,33781
ALABAMA,1948,House,9,Hiram Dodd,Republican,5006
ALABAMA,1948,President,,,States' Rights Democrats,171443
ALABAMA,1948,President,,,Republican,40930
ALABAMA,1948,President,,,Progressive,1522
ALABAMA,1948,President,,,Prohibition,1085
ALABAMA,1948,Senate,,John J. Sparkman,Democratic,185534
ALASKA,1948,DELEGATE,,E. L. Bartlett,Democrat,17520
ALASKA,1948,DELEGATE,,H. H. Stock,Republican,4789
ARIZONA,1916,HOUSE,1,John R. Murdock,Democratic,42565
ARIZONA,1916,HOUSE,1,John H. Udall,Republican,29864
ARIZONA,1916,HOUSE,1,H. R. Templin,Prohibition,481
ARIZONA,1916,HOUSE,2,Harold A. Patten,Democratic,54066
ARIZONA,1916,HOUSE,2,Albert R. Buchman,Republican,30140
ARIZONA,1916,HOUSE,2,John P. Foley,Progressive,1478
ARIZONA,1916,HOUSE,2,T. C. Abbott,Prohibition,381
ARIZONA,1916,PRESIDENTIAL,,,,95251
ARIZONA,1916,PRESIDENTIAL,,,,77597
ARIZONA,1916,PRESIDENTIAL,,,,3310
ARIZONA,1916,PRESIDENTIAL,,,,786
ARIZONA,1916,PRESIDENTIAL,,,,121
ARKANSAS,1916,HOUSE,1,E. C. Gathings,Democratic,34676
ARKANSAS,1916,HOUSE,2,Wilbur D. Mills,Democratic,29922
ARKANSAS,1916,HOUSE,3,J. W. Trimble,Democratic,25754
ARKANSAS,1916,HOUSE,4,Boyd Tackett,Democratic,29338
ARKANSAS,1916,HOUSE,5,Brooks Hays,Democratic,36440
ARKANSAS,1916,HOUSE,6,W. F. Norrell,Democratic,40291
ARKANSAS,1916,HOUSE,7,Oren Harris,Democratic,32982
ARKANSAS,1916,PRESIDENTIAL,,,,149659
ARKANSAS,1916,PRESIDENTIAL,,,,50959
ARKANSAS,1916,PRESIDENTIAL,,,,40068
ARKANSAS,1916,PRESIDENTIAL,,,,761
ARKANSAS,1916,PRESIDENTIAL,,,,1037
ARKANSAS,1916,PRESIDENTIAL,,,,1
ARKANSAS,1916,SENATE,,John L. McClellan,Democratic,216401
Alabama,1948,Presidential,,,,171443
Alabama,1948,Presidential,,,,40539
Alabama,1948,Presidential,,,,1522
Alabama,1948,Presidential,,,,4863
Alabama,1948,Presidential,,,,229467
Alabama,1948,Presidential,,,,93523
Alabama,1948,Presidential,,,,171443
Alaska,1948,Presidential,,,,6967
Alaska,1948,Presidential,,,,7747
Arizona,1948,Presidential,,,,77597
Arizona,1948,Presidential,,,,54304
