STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1950,House,1,Frank W. Boykin,Democrat,14206
ALABAMA,1950,House,2,George M. Grant,Democrat,17441
ALABAMA,1950,House,3,George W. Andrews,Democrat,10914
ALABAMA,1950,House,4,Kenneth A. Roberts,Democrat,14608
ALABAMA,1950,House,4,W. Foster,Republican,980
ALABAMA,1950,House,5,Albert Rains,Democrat,17299
ALABAMA,1950,House,6,Edward deGraffenried,Democrat,11709
ALABAMA,1950,House,7,Carl Elliott,Democrat,20580
ALABAMA,1950,House,8,Robert E. Jones Jr.,Democrat,13742
ALABAMA,1950,House,9,Laurie C. Battle,Democrat,30743
ALABAMA,1950,Senate,,Lister Hill,Democrat,125534
ALABAMA,1950,Senate,,John G. Crommelin Jr.,Independent,38477
ARIZONA,1950,House,1,,,51526
ARIZONA,1950,House,1,John R. Murdock,Democrat,51526
ARIZONA,1950,House,1,Carl W. Divelbiss,Republican,33528
ARIZONA,1950,House,2,,,62091
ARIZONA,1950,House,2,Harold A. Patten,Democrat,63991
ARIZONA,1950,House,2,John H. Curnutte,Republican,28622
ARIZONA,1950,Senate,,,,115246
ARIZONA,1950,Senate,,Carl Hayden,Democrat,116246
ARIZONA,1950,Senate,,Bruce Brockett,Republican,68846
ARKANSAS,1950,House,1,E. C. Gathings,Democrat,47238
ARKANSAS,1950,House,2,Wilbur D. Mills,Democrat,31048
ARKANSAS,1950,House,3,J. W. Trimble,Democrat,34434
ARKANSAS,1950,House,4,Boyd Tackett,Democrat,43156
ARKANSAS,1950,House,5,Brooks Hays,Democrat,54338
ARKANSAS,1950,House,6,W. F. Norrell,Democrat,46457
ARKANSAS,1950,House,7,Oren Harris,Democrat,39121
ARKANSAS,1950,Senate,,John L. McClellan,Democrat,302686
Alabama,1950,Senate,,Sparkman,Democratic,125384
Alabama,1950,Senate,,Sellers,Republican,68346
Alabama,1960,Congressional,,Unknown,Democratic,151212
Alabama,1960,Congressional,,Unknown,Republican,62450
Alaska,1950,House,,E. L. Bartlett,Democrat,13588
Alaska,1950,House,,Almer J. Peterson,Republican,5138
Arizona,1950,Senate,,McFarland,Democratic,102807
Arizona,1950,Senate,,Brophy,Republican,52246
Arizona,1960,Congressional,,Unknown,Democratic,151217
