STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1976,House,1,Bill Davenport,Democratic,58906
ALABAMA,1976,House,1,Jack Edwards,Republican,98257
ALABAMA,1976,House,1,,Write-in,7
ALABAMA,1976,House,2,J. Carole Kealey,Democratic,66288
ALABAMA,1976,House,2,"William L. ""Bill"" Dickinson",Republican,90069
ALABAMA,1976,House,2,,Write-in,5
ALABAMA,1976,House,3,Bill Nichols,Democratic,106935
ALABAMA,1976,House,3,Ogburn Gardner,Prohibition,1111
ALABAMA,1976,House,3,,Write-in,2
ALABAMA,1976,House,4,Tom Bevill,Democratic,141490
ALABAMA,1976,House,4,Leonard Wilson,Republican,34531
ALABAMA,1976,House,4,,Write-in,1
ALABAMA,1976,House,5,Ronnie G. Flippo,Democratic,113553
ALABAMA,1976,House,5,,Write-in,7
ALABAMA,1976,House,6,Mel Bailey,Democratic,69384
ALABAMA,1976,House,6,John H. Buchanan Jr.,Republican,92113
ALABAMA,1976,House,6,Billy E. Dorsey,National Democrat,1021
ALABAMA,1976,House,7,Walter Flowers,Democratic,110496
ALABAMA,1976,House,7,,Write-in,5
ALABAMA,1976,Presidential,,,,659170
ALABAMA,1976,Presidential,,,,504070
ALABAMA,1976,Presidential,,,,9198
ALABAMA,1976,Presidential,,,,6669
ALABAMA,1976,Presidential,,,,1481
ALABAMA,1976,Presidential,,,,1954
ALABAMA,1976,Presidential,,,,308
ALASKA,1982,Presidential,,,,44058
ALASKA,1982,Presidential,,,,71555
ALASKA,1982,Presidential,,,,6785
ALASKA,1982,Presidential,,,,1176
ALASKA,1982,House,,Eben Hopson,Democratic,34194
ALASKA,1982,House,,Don Young,Republican,83722
ALASKA,1982,House,,Write-in,Write-in,292
ARIZONA,1982,House,1,Patricia M. Fullinwider,Democratic,68404
ARIZONA,1982,House,1,John J. Rhodes,Republican,96397
ARIZONA,1982,House,1,Sumner Duncan Dodge,Libertarian,2278
ARIZONA,1982,House,1,Harry Braun,Independent,1640
ARIZONA,1948,House,1,,Democrat,68404
ARIZONA,1948,House,1,,Republican,96397
ARIZONA,1948,House,1,,Libertarian,2278
ARIZONA,1948,House,1,,Independent,1040
ARIZONA,1982,House,2,Morris K. Udall,Democratic,106054
ARIZONA,1982,House,2,Laird Guttersen,Republican,71765
ARIZONA,1982,House,2,Michael Emerling,Libertarian,4309
ARIZONA,1948,House,2,,Democrat,106054
ARIZONA,1948,House,2,,Republican,71765
ARIZONA,1948,House,2,,Libertarian,4309
ARIZONA,1982,House,3,Bob Stump,Democratic,88854
ARIZONA,1982,House,3,Fred Koory Jr.,Republican,79162
ARIZONA,1982,House,3,Bill McCune,Independent,19149
ARIZONA,1948,House,3,,Democrat,92854
ARIZONA,1948,House,3,,Republican,79152
ARIZONA,1948,House,3,,Libertarian,10148
ARIZONA,1982,House,4,Tony Mason,Democratic,92435
ARIZONA,1982,House,4,Eldon Rudd,Republican,93154
ARIZONA,1982,House,4,Pat Harper,Libertarian,6001
ARIZONA,1948,House,4,,Democrat,88435
ARIZONA,1948,House,4,,Republican,83164
ARIZONA,1948,House,4,,Libertarian,15002
ARIZONA,1982,Presidential,,,,295602
ARIZONA,1982,Presidential,,,,418642
ARIZONA,1982,Presidential,,,,7647
ARIZONA,1982,Presidential,,,,19229
ARIZONA,1982,Presidential,,,,85
ARIZONA,1982,Presidential,,,,664
ARIZONA,1982,Presidential,,,,928
ARIZONA,1982,Presidential,,,,22
ARIZONA,1982,Senate,,Dennis DeConcini,Democratic,400324
ARIZONA,1982,Senate,,Sam Steiger,Republican,321236
ARIZONA,1982,Senate,,Wm. Mathews Peighan,Independent,1565
ARIZONA,1982,Senate,,Allan Norwitz,Libertarian,7310
ARIZONA,1982,Senate,,Bob Field,Independent,10765
ARIZONA,1948,Senate,,,Democrat,400334
ARIZONA,1948,Senate,,,Republican,321236
ARIZONA,1948,Senate,,,Libertarian,7310
ARIZONA,1948,Senate,,,Independent,12330
ARIZONA,1948,President,,,Democrat,295602
ARIZONA,1948,President,,,Republican,418642
ARIZONA,1948,President,,,Libertarian,7647
ARIZONA,1948,President,,,Independent,19229
ARIZONA,1948,President,,,American Independent,85
ARIZONA,1948,President,,,American,564
ARIZONA,1948,President,,,Socialist Workers,928
ARIZONA,1948,President,,,Write-in,22
ARKANSAS,1948,House,1,Bill Alexander,Democrat,116217
ARKANSAS,1948,House,1,"Harlan ""Bo"" Holleman",Republican,52565
ARKANSAS,1948,House,2,Jim Guy Tucker,Democrat,144780
ARKANSAS,1948,House,2,James J. Kelly,Republican,22818
ARKANSAS,1948,House,2,Joe McNew,Write-in,8
ARKANSAS,1948,President,,,Democrat,498604
ARKANSAS,1948,President,,,Republican,267903
ARKANSAS,1948,President,,,American Independent,389
ARKANSAS,1948,President,,,Independent,639
Alabama,1976,Presidential,,,,409284
Alabama,1976,Presidential,,,,504070
Alabama,1976,Presidential,,,,687872
Alaska,1976,Presidential,,,,71555
Alaska,1976,Presidential,,,,71555
Alaska,1976,Presidential,,,,71555
Albert W. Johnson,Republican,73641,23,House,Pennsylvania,1982
Aldi C. Fuhrmann,American Independent,776,,,,
Allen Douglas,U.S. Labor,232,,,,
Allen E. Ertel,Democrat,86158,17,House,Pennsylvania,1982
Andrew Rotstein,U.S. Labor,189,,,,
Anita Maxwell,Democrat,62032,31,House,New York,1974
Anthony C. Beilenson,Democrat,130619,,,,
Anthony R. Curry,Independent,5289,,,,
Arizona,1976,Presidential,,,,295602
Arizona,1976,Presidential,,,,418642
Arizona,1976,Presidential,,,,402812
Arkansas,1976,Presidential,,,,268753
Arkansas,1976,Presidential,,,,268219
Arkansas,1976,Presidential,,,,498604
Arthur E. Wilson,American,1350,22,House,Pennsylvania,1982
"Augustus F. ""Gus"" Hawkins",Democrat,82515,,,,
Austin J. Murphy,Democrat,97036,22,House,Pennsylvania,1982
Barbara Sparks,Republican,12434,,,,
Barber B. Conable Jr.,Republican,120738,35,House,New York,1974
Barry Goldwater Jr.,Republican,146158,,,,
Benjamin G. Hoffman,Libertarian,731,,,,
Bernard Wahl,American Independent,5352,,,,
Bill Hill,Peace and Freedom,7178,,,,
Bob C. Wilson,Republican,128784,,,,
Bob Carr,Democrat,108909,,,,
Bob E. Kildee,Democrat,124260,,,,
Bob Traxler,Democrat,110127,,,,
Bruce Letta,Democrat,59093,,,,
CALIFORNIA,1948,President,,,Democrat,3742284
CALIFORNIA,1948,President,,,Republican,2882244
CALIFORNIA,1948,President,,,American Independent,31098
CALIFORNIA,1948,President,,,Peace and Freedom,44731
CALIFORNIA,1948,President,,,Independent (NicSicle),56388
CALIFORNIA,1948,President,,,Independent (Camejo),17259
CALIFORNIA,1948,President,,,Independent (Hall),12766
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,CONGRESSIONAL_DISTRICT,RACE_TYPE,STATE,YEAR
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,CONGRESSIONAL_DISTRICT,RACE_TYPE,STATE,YEAR
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,,,,
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,,,,
CANDIDATE_NAME,CANDIDATE_PARTY,VOTES,,,,
COLORADO,1948,HOUSE,1,Patricia Schroeder,Democrat,103037
COLORADO,1948,HOUSE,1,Don Friedman,Republican,89384
COLORADO,1948,HOUSE,1,Priscilla Schenk,Socialist Workers,681
COLORADO,1948,HOUSE,1,Lann Meyers,U.S. Labor,508
COLORADO,1948,HOUSE,2,Timothy E. Wirth,Democrat,121340
COLORADO,1948,HOUSE,2,Ed Scott,Republican,118938
COLORADO,1968,House,3,Frank E. Evans,Democrat,89302
COLORADO,1968,House,3,Melvin H. Takaki,Republican,82315
COLORADO,1968,House,3,Henry John Olshaw,American,1186
COLORADO,1968,House,3,Alfredo Archer,La Raza Unida,2429
COLORADO,1968,House,4,Daniel M. Ogden Jr.,Democrat,76995
COLORADO,1968,House,4,James P. (Jim) Johnson,Republican,119458
COLORADO,1968,House,4,Dick Davis,Independent,26398
COLORADO,1968,House,4,Henry Thiel Jr.,Independent,4167
COLORADO,1968,House,5,Dorothy Hores,Democrat,64067
COLORADO,1968,House,5,William L. Armstrong,Republican,126784
COLORADO,1948,PRESIDENT,,,,460801
COLORADO,1948,PRESIDENT,,,,584278
COLORADO,1948,PRESIDENT,,,,26047
COLORADO,1948,PRESIDENT,,,,565
COLORADO,1948,PRESIDENT,,,,1122
COLORADO,1948,PRESIDENT,,,,403
COLORADO,1948,PRESIDENT,,,,5388
COLORADO,1948,PRESIDENT,,,,2886
CONNECTICUT,1968,House,1,William R. Cotter,Democrat,128479
CONNECTICUT,1968,House,1,Lucien P. Di Fazio Jr.,Republican,94106
CONNECTICUT,1968,House,1,Donna C. McDonough,U.S. Labor,1110
CONNECTICUT,1968,House,1,Charlie A. Burke,George Wallace,1326
CONNECTICUT,1968,House,2,Christopher J. Dodd,Democrat,142084
CONNECTICUT,1968,House,2,Richard M. Jackson,Republican,74743
CONNECTICUT,1968,House,2,Anthony Discepolo,Independent,1857
CONNECTICUT,1968,House,3,Robert N. Giaimo,Democrat,121623
CONNECTICUT,1968,House,3,John G. Pucciano,Republican,97714
CONNECTICUT,1968,House,3,Robert G. Cossette,George Wallace,1439
CONNECTICUT,1968,House,3,Joelle R. Fishman,Communist,2947
CONNECTICUT,1968,House,4,Geoffrey G. Peterson,Democrat,76772
CONNECTICUT,1968,House,4,Stewart B. McKinney,Republican,126314
CONNECTICUT,1968,House,4,Richard H. G. Cunningham,George Wallace,3318
CONNECTICUT,1968,House,4,Zoltan Toth Solyomossy,Conservative,679
CONNECTICUT,1968,House,5,Michael J. Adanti,Democrat,77308
CONNECTICUT,1968,House,5,Ronald A. Sarasin,Republican,157009
CONNECTICUT,1968,House,5,William Kozak Jr.,George Wallace,1743
CONNECTICUT,1968,House,5,,Scattering,27
CONNECTICUT,1968,House,6,Anthony Toby Moffett,Democrat,134914
CONNECTICUT,1968,House,6,Thomas F. Upson,Republican,102364
CONNECTICUT,1968,House,6,Louis J. Marietta,Independent,1004
CONNECTICUT,1968,House,6,,Scattering,18
CONNECTICUT,1968,President,,,,647895
CONNECTICUT,1968,President,,,,719261
CONNECTICUT,1968,President,,,,7101
CONNECTICUT,1968,President,,,,1789
CONNECTICUT,1968,Senate,,Gloria Schaffer,Democrat,561018
CONNECTICUT,1968,Senate,,Lowell P. Weicker Jr.,Republican,785683
CONNECTICUT,1968,Senate,,Robert Barnabei,George Wallace,14407
California,1913,House,1,John E. Raker,Democratic,44
California,1913,House,10,William D. Stephens,Progressive,75
California,1913,House,11,William Kettner,Democratic,54
California,1913,House,2,William Kent,Progressive,51
California,1913,House,3,Charles F. Curry,Republican,47
California,1913,House,4,Julius Kahn,Republican,52
California,1913,House,5,John I. Nolan,Republican,49
California,1913,House,6,Joseph R. Knowland,Republican,47
California,1913,House,7,Denver S. Church,Democratic,39
California,1913,House,8,Everis A. Hayes,Republican,57
California,1913,House,9,Charles W. Bell,Progressive,39
California,1976,Presidential,,,,3882244
California,1976,Presidential,,,,3882244
California,1976,Presidential,,,,4521547
Calvin Kimbrough,Republican,23600,37,House,New York,1974
Carleton S. Finkbeiner,Republican,73919,,,,
Carlos J. Moorhead,Republican,114769,,,,
Chalmers P. Wylie,Republican,109630,,,,
Charles A. Vanik,Democrat,128535,,,,
Charles C. Diggs Jr.,Democrat,83387,,,,
Charles E. Wiggins,Republican,122657,,,,
Charles G. Johns,American Independent,673,,,,
Charles H. Wilson,Democrat,83155,,,,
Charles J. Carney,Democrat,90386,,,,
Charles R. Welch,Democrat,48855,33,House,New York,1974
Christopher Lewis,Labor,1675,28,House,New York,1974
Clair W. Burgener,Republican,173576,,,,
Clarence E. Miller,Republican,127147,,,,
Clifford O. Young,Republican,35394,,,,
Clifford W. Taylor,Republican,96008,,,,
Colorado,1976,Presidential,,,,584367
Colorado,1976,Presidential,,,,584278
Colorado,1976,Presidential,,,,584367
Connecticut,1976,Presidential,,,,719261
Connecticut,1976,Presidential,,,,719261
Connecticut,1976,Presidential,,,,823037
DELAWARE,1968,President,,,,122461
DELAWARE,1968,President,,,,100780
DELAWARE,1968,Senate,,Thomas C. Maloney,Democrat,98042
DELAWARE,1968,Senate,,William V. Roth Jr.,Republican,125454
DELAWARE,1968,Senate,,Donald G. Gies,American,646
DELAWARE,1968,Senate,,John A. Messimilla,Prohibition,210
DELAWARE,1968,Senate,,Joseph F. McInerney,Non-Partisan,437
DELAWARE,1968,House,,Samuel L. Shipley,Democrat,102411
DELAWARE,1968,House,,Thomas B. Evans Jr.,Republican,110636
DELAWARE,1968,House,,Robert G. LoPresti,American,830
DELAWARE,1968,House,,Raymond R. Green,Prohibition,602
DELAWARE,1968,House,,Joseph B. Renton Sr.,Socialist Labor,347
