STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1960,House,1,Frank W. Boykin,Democratic,45225
ALABAMA,1960,House,2,George M. Grant,Democratic,44487
ALABAMA,1960,House,3,George W. Andrews,Democratic,33881
ALABAMA,1960,House,4,Kenneth A. Roberts,Democratic,34855
ALABAMA,1960,House,5,Albert Rains,Democratic,48772
ALABAMA,1960,House,6,Armistead I. Selden Jr.,Democratic,23245
ALABAMA,1960,House,7,Carl Elliott,Democratic,36124
ALABAMA,1960,House,8,Robert E. (Bob) Jones,Democratic,52411
ALABAMA,1960,House,8,H. G. Williams,Republican,13800
ALABAMA,1960,House,9,George Huddleston Jr.,Democratic,70567
ALABAMA,1960,House,9,William P. Ivey,Republican,34317
ALABAMA,1960,Presidential,,,,324050
ALABAMA,1960,Presidential,,,,237981
ALABAMA,1960,Presidential,,,,4367
ALABAMA,1960,Presidential,,,,2106
ALABAMA,1960,Presidential,,,,1485
ALABAMA,1960,Presidential,,,,236
ALABAMA,1960,Senate,,John Sparkman,Democratic,389196
ALABAMA,1960,Senate,,Julian Elgin,Republican,164868
ALASKA,1960,Presidential,,,,29809
ALASKA,1960,Presidential,,,,30953
ALASKA,1960,Senate,,E. L. (Bob) Bartlett,Democratic,38041
ALASKA,1960,Senate,,Lee L. (Doc) McKinley,Republican,21937
ALASKA,1960,House,,Ralph J. Rivers,Democratic,33546
ALASKA,1960,House,,R. L. (Ron) Rettig,Republican,25517
ARIZONA,1960,House,1,Richard H. Harless,Democratic,83676
ARIZONA,1960,House,1,John J. Rhodes,Republican,121563
ARIZONA,1960,House,2,Stewart L. Udall,Democratic,95512
ARIZONA,1960,House,2,Mac C. Matheson,Republican,75911
ARIZONA,1960,Presidential,,,,176781
ARIZONA,1960,Presidential,,,,221241
ARIZONA,1960,Presidential,,,,469
ARKANSAS,1960,HOUSE,1,E. C. Gathings,Democratic,
ARKANSAS,1960,HOUSE,2,Wilbur D. Mills,Democratic,
ARKANSAS,1960,HOUSE,3,James W. Trimble,Democratic,
ARKANSAS,1960,HOUSE,4,Oren Harris,Democratic,
ARKANSAS,1960,HOUSE,5,Dale Alford,Democratic,57617
ARKANSAS,1960,HOUSE,5,L. J. Churchill,Republican,12034
ARKANSAS,1960,HOUSE,6,W. F. Norrell,Democratic,
ARKANSAS,1960,PRESIDENT,,,,215049
ARKANSAS,1960,PRESIDENT,,,,184508
ARKANSAS,1960,PRESIDENT,,,,28962
ARKANSAS,1960,SENATE,,John L. McClellan,Democratic,377036
ARKANSAS,1960,SENATE,,Marvin Fuchs,Write-in,449
Alabama,1960,Presidential,,,Democratic,324000
Alabama,1960,Presidential,,,Republican,237981
Alabama,1960,Presidential,,,National States Rights,2105
Alabama,1960,Presidential,,,Socialist Labor,486
Alabama,1960,Presidential,,,Socialist Workers,752
Alabama,1960,Presidential,,,,380196
Alabama,1960,Presidential,,,,192732
Alabama,1960,Presidential,,,,324050
Alabama,1960,Presidential,,,,192732
Alaska,1960,Presidential,,,,37681
Alaska,1960,Presidential,,,,29809
Alaska,1960,Presidential,,,,30953
Alaska,1960,Presidential,,,,29809
Arizona,1960,Presidential,,,,221241
Arizona,1960,Presidential,,,,178694
Arizona,1960,Presidential,,,,221241
Arizona,1960,Presidential,,,,178638
Arkansas,1960,Presidential,,,Democratic,215049
Arkansas,1960,Presidential,,,Republican,184508
Arkansas,1960,Presidential,,,,163466
Arkansas,1960,Presidential,,,,184618
Arkansas,1960,Presidential,,,,215049
Arkansas,1960,Presidential,,,,184508
CALIFORNIA,1960,HOUSE,1,Clem Miller,Democratic,115829
CALIFORNIA,1960,HOUSE,1,Fred G. Dupuis,Republican,108505
CALIFORNIA,1960,HOUSE,1,Write-ins,Write-in,4
CALIFORNIA,1960,HOUSE,2,Harold T. Johnson,Democratic,109565
CALIFORNIA,1960,HOUSE,2,Fredric H. Nagel Jr.,Republican,65198
CALIFORNIA,1960,HOUSE,2,Write-ins,Write-in,1
CALIFORNIA,1960,HOUSE,3,John E. Moss Jr.,Democratic,200439
