STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
ALABAMA,1964,House,1,John Tyson,Democrat,36482
ALABAMA,1964,House,1,Jack Edwards,Republican,54522
ALABAMA,1964,House,2,George M. Grant,Democrat,29628
ALABAMA,1964,House,2,William L. Dickinson,Republican,49936
ALABAMA,1964,House,2,George Rivers,Independent,1416
ALABAMA,1964,House,3,George Andrews,Democrat,27039
ALABAMA,1964,House,4,Kenneth A. Roberts,Democrat,27800
ALABAMA,1964,House,4,Glenn Andrews,Republican,40143
ALABAMA,1964,House,4,Rod Lumley,Independent,602
ALABAMA,1964,House,5,Armistead I. Selden Jr.,Democrat,42784
ALABAMA,1964,House,5,Robert French,Republican,37960
ALABAMA,1964,House,6,George Huddleston Jr.,Democrat,45090
ALABAMA,1964,House,6,John Buchanan,Republican,69246
ALABAMA,1964,House,7,George C. Hawkins,Democrat,44386
ALABAMA,1964,House,7,James D. Martin,Republican,65353
ALABAMA,1964,House,8,Robert E. Jones,Democrat,43842
ALABAMA,1964,Presidential,,,,210732
ALABAMA,1964,Presidential,,,,479085
ALASKA,1964,PRESIDENTIAL,,,,44329
ALASKA,1964,PRESIDENTIAL,,,,22930
ALASKA,1964,HOUSE,,Ralph J. Rivers,Democratic,34590
ALASKA,1964,HOUSE,,Lowell Thomas Jr.,Republican,32556
ARIZONA,1964,HOUSE,1,John Ahearn,Democratic,113669
ARIZONA,1964,HOUSE,1,John J. Rhodes,Republican,140507
ARIZONA,1964,HOUSE,2,Morris K. Udall,Democratic,86499
ARIZONA,1964,HOUSE,2,William E. Kimble,Republican,60782
ARIZONA,1964,HOUSE,3,George F. Senner Jr.,Democratic,30265
ARIZONA,1964,HOUSE,3,Sam Steiger,Republican,28862
ARIZONA,1964,PRESIDENTIAL,,,,237753
ARIZONA,1964,PRESIDENTIAL,,,,242535
ARIZONA,1964,PRESIDENTIAL,,,,482
ARIZONA,1964,SENATE,,Roy L. Elson,Democratic,227712
ARIZONA,1964,SENATE,,Paul J. Fannin,Republican,241089
ARKANSAS,1964,HOUSE,1,E. C. Gathings,Democratic,
ARKANSAS,1964,HOUSE,2,Wilbur D. Mills,Democratic,
ARKANSAS,1964,HOUSE,3,James W. Trimble,Democratic,71228
ARKANSAS,1964,HOUSE,3,J. E. Hinshaw,Republican,58884
ARKANSAS,1964,HOUSE,4,Oren Harris,Democratic,
ARKANSAS,1964,PRESIDENT,,,,314197
ARKANSAS,1964,PRESIDENT,,,,243264
ARKANSAS,1964,PRESIDENT,,,,2965
Alabama,1964,Presidential,,,,577631
Alabama,1964,Presidential,,,,479085
Alabama,1964,Presidential,,,,3827122
Alabama,1964,Presidential,,,,201752
Alaska,1964,Presidential,,,,37470
Alaska,1964,Presidential,,,,20972
Alaska,1964,Presidential,,,,37470
Arizona,1964,Presidential,,,,242832
Arizona,1964,Presidential,,,,198540
Arizona,1964,Presidential,,,,281986
Arizona,1964,Presidential,,,,242832
Arkansas,1964,Presidential,,,,503701
Arkansas,1964,Presidential,,,,163234
Arkansas,1964,Presidential,,,,496985
Arkansas,1964,Presidential,,,,187192
CALIFORNIA,1964,HOUSE,1,George McCabe,Democratic,97651
CALIFORNIA,1964,HOUSE,1,Don H. Clausen,Republican,141048
CALIFORNIA,1964,HOUSE,1,,Scattering,11
CALIFORNIA,1964,HOUSE,2,Harold T. Johnson,Democratic,125774
CALIFORNIA,1964,HOUSE,2,Chester C. Merriam,Republican,68835
