STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Alabama,1940,House,1,Frank W. Boykin,Democratic,25993
Alabama,1940,House,2,George Grant,Democratic,33433
Alabama,1940,House,3,Henry B. Steagall,Democratic,22906
Alabama,1940,House,3,Thomas G. McNaron,Republican,81
Alabama,1940,House,4,Sam Hobbs,Democratic,24870
Alabama,1940,House,4,Thomas G. McNaron,Republican,3428
Alabama,1940,House,5,Joe Starnes,Democratic,31966
Alabama,1940,House,5,George Bogus,Write-in,1
Alabama,1940,House,6,Pete Jarman,Democratic,18881
Alabama,1940,House,7,Carter Manasco,Democratic,27096
Alabama,1940,House,7,A. W. Hargett,Republican,11308
Alabama,1940,House,8,John J. Sparkman,Democratic,29020
Alabama,1940,House,9,Luther Patrick,Democratic,39060
Alabama,1940,House,9,W. A. Denson,Independent,312
Alabama,1940,Presidential,,Democratic,Democratic,250726
Alabama,1940,Presidential,,Republican,Republican,42184
Alabama,1940,Presidential,,Prohibition,Prohibition,700
Alabama,1940,Presidential,,Communist,Communist,509
Alabama,1940,Presidential,,Socialist,Socialist,100
Alaska,1932,Delegate,,Anthony J. Dimond,Democrat,11241
Alaska,1932,Delegate,,Cash Cole,Republican,3320
Arizona,1940,House,,John R. Murdock,Democratic,99424
Arizona,1940,House,,R. T. Palmer,Republican,40360
Arizona,1940,Presidential,,Democratic,Democratic,95267
Arizona,1940,Presidential,,Republican,Republican,54030
Arizona,1940,Presidential,,Prohibition,Prohibition,742
Arizona,1940,Senate,,Ernest W. McFarland,Democratic,101495
Arizona,1940,Senate,,Irving A. Jennings,Republican,39657
Arizona,1940,Senate,,A. Walter Gehres,Prohibition,579
Arkansas,1932,House,1,E. C. Gathings,Democratic,33127
Arkansas,1932,House,2,Wilbur D. Mills,Democratic,26105
Arkansas,1932,House,3,Clyde T. Ellis,Democratic,21060
Arkansas,1932,House,3,Claude M. Williams,Republican,8566
Arkansas,1932,House,4,Fadjo Cravens,Democratic,28999
Arkansas,1932,House,5,David T. Terry,Democratic,36067
Arkansas,1932,House,6,W. F. Norrell,Democratic,27972
Arkansas,1932,House,7,Oren Harris,Democratic,26994
Arkansas,1932,Presidential,,Democratic,Democratic,158622
Arkansas,1932,Presidential,,Republican,Republican,42121
California,1912,Presidential,,Progressive,,16506
California,1912,Presidential,,Other,,262
California,1932,House,1,Clarence R. Lea,Democratic-Republican,103547
California,1932,House,1,Albert J. Lima,Communist,5647
California,1932,House,1,Ernest S. Mitchell,Write-in,1828
California,1932,House,2,Harry L. Englebright,Republican-Democratic-Progressive,71033
California,1932,House,3,Frank H. Buck,Democratic-Republican,135461
California,1932,House,3,C. H. Farman,Prohibition,10539
California,1932,House,3,Charles Gricus,Communist,2751
California,1932,House,4,Thomas F. Ford,Republican,75369
California,1932,House,4,Franck C. Havender,Democratic-Progressive,61341
California,1932,House,4,Archie Brown,Communist,1322
California,1932,House,5,Richard J. Welch,Republican-Democrat,119122
California,1932,House,5,Walter R. Lambert,Communist,5232
California,1932,House,6,Albert E. Carter,Republican-Democratic-Progressive,131584
California,1932,House,6,Clarence Paton,Communist,5426
California,1932,House,7,John H. Tolan,Democratic,72838
California,1932,House,7,Ralph R. Eltse,Republican,56808
California,1932,House,7,Alfred N. Johnson,Communist,1707
California,1932,Presidential,,Democratic,Democratic,1877618
California,1932,Presidential,,Republican,Republican,1351419
California,1932,Presidential,,Progressive,,16506
California,1932,Presidential,,Communist,,13586
California,1932,Presidential,,Prohibition,,9400
California,1932,Presidential,,Scattering,,262
California,1932,Senate,,Hiram W. Johnson,Republican-Democratic-Progressive,2238899
California,1932,Senate,,Tall Porter,Prohibition,306044
California,1932,Senate,,Anita Whitney,Communist,97478
California,1932,Senate,,John Anson Ford,Write-in,7115
California,1932,Senate,,Scattering,,4029
Connecticut,1912,Presidential,,Socialist Labor,,971
Georgia,1912,Presidential,,Independent Democratic,Democratic,22428
Georgia,1936,House,1,Hugh Peterson,Democrat,28601
Georgia,1936,House,1,H. W. Sheppard,Independent,111
Georgia,1936,House,1,Thomas H. Granfield,Republican,46
